,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
26,159,40,222,1004,256,7395,32,483,147,5,120,120,628,0,2763,0,1536,76,1541,0,0,1211,1088,1768,290,917,103,0,73,366,325,0,339,597,440,514,380,330,16,270,52,292,81,121,0,0,4,519,597,10,0,98,44,242,422,0,596,519,564,136,0,0,123,19995,0,15,142,0,77,0,480,861,375,131,0,567,0,0
27,2899,1781,2830,18652,1761,29040,0,3797,2278,5234,775,2271,5435,0,27589,365,8108,451,12089,0,394,2752,924,3666,211,2900,728,0,273,588,3198,1,5975,5619,6510,650,6507,2281,368,1009,5228,2642,1716,3152,0,0,14448,4,17909,1,1,3954,2988,2379,284,277,6116,1779,6150,3470,0,157,1387,109314,0,355,1352,3,6,0,9192,4966,14024,3,5,2815,0,2
28,1537,324,654,4101,765,11926,0,2482,16,1572,596,1012,2980,0,6508,153,2097,372,2831,220,361,1595,728,1912,552,1471,225,1,15,359,1399,0,1533,2279,773,680,3463,600,155,918,2857,641,236,1129,0,0,17751,0,4964,0,0,1519,922,722,141,0,3986,1450,940,1630,0,0,497,103285,64,975,399,0,174,0,6191,2256,1758,324,1,1836,538,0
29,1107,6590,1055,3736,6689,5726,2082,1529,733,336,1848,1408,3365,1480,5122,6111,853,992,3690,2500,1683,585,628,1492,275,860,1308,1753,1856,8443,1254,1078,1068,3042,1203,1769,1559,338,939,1067,827,2677,1853,207,2329,1107,15033,9175,2296,1567,1318,787,660,706,1237,30775,1356,935,2984,1889,23,364,1476,144648,668,1881,1880,1572,1312,569,2425,1125,1976,1162,13504,693,2258,6589
30,2183,828,836,9280,329,19342,1,4777,860,1628,1293,1673,5104,0,17874,1,2730,887,8748,38,752,2935,1589,2760,866,1760,999,0,1046,738,2181,257,6084,2639,4811,1444,9932,2762,354,1441,4739,1524,890,1654,0,0,11101,0,8993,0,0,5546,1332,3505,0,2,3192,3904,2847,1442,1,0,493,79242,238,47,1701,362,64,1,4085,3161,2339,0,8,2955,285,0
31,0,2941,0,4975,1634,50465,0,3688,4286,5053,808,1,2970,0,18993,0,15904,0,12729,0,0,18509,3594,20621,2261,12873,1,0,0,3261,3619,0,5,2174,264,2452,1316,4,2986,4035,1349,5095,179,0,0,0,404,7526,3091,0,0,6096,1981,1838,1133,2,2605,12,4808,3742,0,0,30,477490,0,1208,20,0,17,0,16839,6639,18454,13,5,8153,1624,2
32,7,2981,0,15948,1121,30803,1,1982,4186,576,0,2112,7049,0,21530,178,15127,0,4980,0,14,8080,6559,19471,1758,9357,701,0,422,1488,2990,1281,60,10042,1333,119,1578,777,705,722,248,2758,828,3534,1,0,11,1,4246,0,0,3550,819,2658,0,1,3565,2613,3,2298,1,763,549,298638,477,279,2418,0,290,0,3985,1824,7346,85,0,5674,342,2
33,3042,622,202,14119,2877,26149,0,7570,3830,2920,199,1449,7351,0,13764,3,4119,880,9815,296,15,2850,1133,3370,474,3346,641,0,818,615,2877,422,5057,5342,1657,1952,7770,1659,542,1256,6241,857,60,2860,0,0,26925,1,9121,0,0,4197,4026,3211,16,0,7325,1463,2468,1888,0,0,383,122886,2173,899,1095,726,345,1,8700,9462,8200,167,0,4607,861,0
34,646,12,266,564,303,3498,0,1049,7,162,1,236,600,0,1465,0,406,53,1285,46,45,977,403,1046,321,1008,111,0,117,256,205,1,305,468,415,156,417,271,69,10,415,176,89,671,0,0,10059,0,590,0,0,251,273,257,15,1,932,229,192,278,0,0,338,37508,53,200,0,0,1,0,1749,528,700,129,1,234,23,0
35,3145,1583,2208,17474,2313,21468,0,6300,2142,4181,1824,3259,6622,0,13895,95,5879,871,10999,3,185,2595,878,4893,768,2125,788,0,197,878,3711,387,2564,7011,3179,1578,7451,2537,1499,1869,3079,2120,995,1883,0,0,9465,1,10498,0,0,3329,4263,3498,615,0,5633,3379,1935,2013,0,424,1172,109695,0,177,2675,0,1874,0,4873,2322,4972,626,1,4488,50,1
36,80,354,1016,12754,0,30410,0,1550,3714,2371,1741,274,3644,0,17055,1898,8170,2016,4738,0,5,7938,2184,15410,3947,5964,393,0,972,688,5499,0,623,10080,2501,4186,812,4797,201,2097,0,864,593,4,0,0,1,1,3210,0,0,5449,660,2361,924,1,4051,1911,345,3281,0,0,157,634814,0,2513,1971,0,1404,0,13585,5361,9510,697,0,8426,79,0
37,690,1807,1626,8717,942,24414,4,1820,1562,1673,428,923,3526,1,14347,202,2084,461,5898,23,65,1260,736,1764,168,1490,397,0,100,651,1188,0,1036,2175,2609,1344,2118,1048,202,565,528,1384,935,862,0,0,16001,0,2146,1,0,993,973,1356,22,1,1639,2139,577,817,0,1,673,177851,27,388,0,0,827,0,7448,1798,3791,481,2,1097,594,0
38,1961,7,1,26952,1540,68920,0,2676,1197,3151,86,2400,3760,0,23458,0,18156,1700,9975,0,15,11371,3645,15662,4202,7448,194,0,1,1004,4523,0,805,10179,1319,6679,3716,4378,17,65,603,2816,1187,1802,0,1,389,0,5122,0,0,14516,1290,3950,1213,0,2000,504,6101,3179,0,0,2060,570990,1289,1311,155,0,282,0,23948,3421,17331,572,0,9368,20,0
39,1867,1266,0,4526,437,7868,0,1255,408,489,459,405,1461,1,8890,0,4831,214,2348,0,157,1248,564,4199,798,1183,1008,0,83,505,1384,163,193,2826,164,1766,1593,412,716,66,478,727,656,725,0,0,15286,2529,756,207,0,3991,89,130,841,0,865,558,385,185,0,0,254,613778,0,1283,563,0,204,1,7309,2805,1466,49,0,1784,92,0
40,219,1128,938,5658,19,8720,0,3921,4449,506,62,548,6042,0,4689,0,5641,707,5347,0,1,3601,4453,7750,3433,7271,3,0,0,434,1729,0,1177,2149,818,4142,2259,291,1009,681,546,1201,176,1101,0,0,5,0,445,0,0,2988,437,1299,406,0,606,6,1341,678,0,0,1706,335329,660,1514,720,0,1395,0,10264,1688,6715,178,0,2308,1045,0
41,277,10320,1559,5220,7396,14379,5854,2268,1060,703,6287,3397,4816,3240,8630,13893,951,1503,2747,2637,754,2322,1244,3369,284,1475,699,2567,3241,8694,1783,4132,263,3139,749,1479,1277,935,1355,1107,1253,1839,1512,556,6492,6768,21228,11973,6659,1801,1849,510,992,766,947,47254,5908,1021,2304,2319,5247,3115,2087,309295,530,2508,333,5080,2064,3163,3364,2584,2554,2991,23415,1015,2195,8687
42,1589,1661,1714,22091,971,29063,0,4017,2127,4167,1322,4578,8318,0,21744,512,4467,284,10093,0,1071,1796,1248,3305,353,1367,687,0,1084,1508,4536,0,5729,8465,3923,1576,6238,5630,2010,1442,3896,2255,1365,2297,0,1,9128,0,18917,0,0,4906,2476,3964,466,1,6309,5171,1548,2792,0,509,966,142965,354,1204,2982,1,186,0,9019,5802,12873,1017,1,4399,549,0
43,1784,702,5,1465,1223,1458,0,1837,192,784,0,0,428,0,2292,0,112,0,1910,0,0,7974,2093,7765,1328,4723,0,0,0,715,347,0,44,524,0,76,0,868,12,0,377,48,31,0,0,0,39004,0,111,0,0,65,942,88,0,0,173,450,594,1152,0,0,838,166297,11,153,0,0,161,0,1607,1349,181,984,0,79,0,0
44,913,701,597,4138,635,11312,0,1296,1262,400,964,1271,2816,1,6102,1,1405,173,5433,0,205,1158,949,2348,384,1162,363,0,317,152,1326,1,619,1345,406,281,2382,539,333,143,1254,1115,468,695,0,0,523,235,2033,0,0,1972,1121,1370,148,0,914,887,914,1094,0,0,51,11405,0,273,550,0,145,0,642,561,901,479,0,1404,245,0
45,6077,2893,2238,47916,2515,42283,0,2432,2719,2220,3462,3108,20573,0,35693,1547,29631,739,20821,0,505,2989,944,3960,1070,2063,2473,0,848,2258,6483,0,665,8601,2693,6343,652,6837,2052,2359,341,4830,2513,3813,0,0,162,401,3083,0,0,17561,4038,2085,28,2,1716,5239,1976,4258,1060,241,1905,267571,339,1152,4059,0,747,0,13867,2415,17446,739,0,4244,1085,109
46,1116,1633,321,3992,0,9190,2,1424,838,1161,424,345,2568,0,3406,0,1400,287,4211,213,176,2438,1168,3228,341,1900,149,0,378,174,402,2,179,2544,363,194,1115,1092,277,989,339,566,224,407,0,1,297,0,1225,0,0,1102,0,927,141,0,1302,677,967,307,0,0,481,92171,0,251,201,217,134,1,2640,1464,2013,0,0,1599,190,0
47,1,5,0,779,40,495,0,257,0,15,0,48,10,0,32,0,748,0,345,0,1,9769,2378,8583,3520,6949,1,0,0,314,144,181,172,114,1750,1154,339,1,57,66,19,6,0,519,0,0,8804,0,0,0,0,42,34,26,0,1,757,0,118,0,0,0,58,248361,0,94,1,0,34,0,749,148,2177,8,1,58,417,0
48,1623,780,1570,18098,415,10571,1,436,1713,498,1533,1,6283,0,3804,352,3801,390,4513,162,367,1300,842,2279,456,1039,492,0,107,639,1918,5,287,1044,227,1353,249,2241,518,874,399,588,679,1534,0,0,478,0,948,0,0,3262,680,891,398,0,372,2241,424,781,0,120,47,17778,117,291,304,0,132,0,1944,542,2605,284,0,1139,566,0
49,5030,578,1030,14297,2662,49665,0,3700,4560,2399,1959,1919,5548,0,24074,0,9937,1216,20178,118,424,4445,2084,12024,3255,5959,2010,0,0,1874,6655,0,809,8395,3862,1558,2383,3750,2653,1137,1879,3298,1477,2353,1,0,16,979,648,0,0,3444,3708,1453,388,0,2153,7114,3682,4072,1,4,1384,799098,943,2233,1083,0,1716,0,22208,5081,11407,734,0,9885,14,0
50,950,188,243,2847,333,4264,0,933,254,208,511,537,1260,0,2747,0,946,6,4280,5,80,1729,1342,2872,1066,1020,111,0,72,333,444,94,1245,433,312,339,839,404,440,601,614,234,402,169,0,0,23409,656,323,0,0,405,735,773,94,27,897,1224,457,170,1089,132,354,76180,279,60,311,0,106,0,2156,1352,3202,169,0,1007,26,0
51,5007,1629,3759,21733,1449,22743,0,6476,2889,3712,1551,1483,10510,0,24617,0,6752,770,15359,5,645,3072,830,4808,1433,2801,380,0,1302,1650,6234,0,7062,7660,3159,1869,10692,3240,1678,1471,6421,3657,1676,2763,0,0,23669,0,13300,0,0,7261,3867,3519,656,0,7021,4641,4913,2092,0,45,2597,129565,336,1056,3310,0,695,0,8215,4979,11302,38,1,5993,1291,0
52,542,235,560,5301,106,8640,0,586,556,140,468,1219,2394,0,5700,278,1210,85,3424,0,2,704,554,1041,256,693,248,0,76,203,783,156,1188,871,299,188,978,763,194,379,392,707,160,905,0,0,35,44,1518,0,0,1987,696,1119,2,0,725,765,380,379,0,0,67,4915,207,160,265,0,221,0,1056,759,1216,129,1,971,285,0
53,4360,4264,2325,19048,2224,35358,198,6125,2251,6711,1613,4044,7832,0,30353,468,6344,989,11657,801,1164,2548,1084,5379,713,1750,1492,0,829,2210,6067,197,4926,9584,3978,2049,10691,3795,2168,674,3412,1859,2455,2474,0,0,19683,0,13325,0,0,5771,3392,4267,439,0,7838,4249,2594,3738,0,0,963,159390,245,1348,2632,0,937,0,9352,9235,10533,477,2,5949,188,208
54,4272,5299,6931,32664,23,18971,0,2445,6709,0,1426,0,14332,0,3798,1700,8278,1254,4911,0,34,7946,1897,6311,1854,5110,2054,0,1557,1769,11084,505,63,23668,2053,5623,560,6127,465,4559,0,1937,19,3327,0,0,5,0,4,0,0,9812,0,11,534,0,1722,5621,121,2596,0,0,497,390664,0,3600,676,0,2235,0,12708,2099,7178,1639,0,5032,1592,0
55,2314,3593,71,13837,1,29597,0,7252,3502,2272,1746,2427,13899,0,13763,548,17321,1776,10041,483,2,8868,3944,15665,1973,7401,0,0,0,1364,5124,0,2204,12949,4303,2997,2165,3379,706,304,0,4057,100,2840,0,0,34,0,1,0,0,9375,3151,1621,7,763,1104,1892,1948,677,0,1225,15,564084,0,3419,35,256,53,0,11754,2987,11177,46,1,5856,0,0
56,273,34,14,4342,177,10001,0,2039,1883,280,308,722,3774,0,1511,12,3284,0,3164,16,0,4174,1565,6740,1199,5208,4,0,539,492,792,0,1388,798,1230,10,2571,2,1304,610,760,79,893,1189,0,0,5263,0,2139,0,0,993,1258,748,27,0,1262,1062,1151,3610,0,0,41,652809,0,1649,184,0,330,0,2196,3611,3870,107,2,2207,1,0
57,80,213,587,2035,0,4017,0,254,118,366,70,97,1533,0,1630,0,283,24,1656,0,240,733,645,1574,406,1280,75,0,43,92,331,0,57,280,0,104,652,288,108,78,106,309,74,360,0,0,107,442,364,0,0,824,319,246,116,0,73,617,492,204,0,0,147,17126,120,75,124,0,90,1,780,393,890,215,1,546,0,0
58,3700,52,1461,26084,4847,43547,0,9167,1931,188,2887,774,8281,0,11926,0,26352,876,14385,0,13,13482,3217,9776,3822,6834,3896,0,0,2560,2178,0,1691,9464,3573,3550,0,2046,194,1359,380,2354,42,3919,0,0,701,0,838,0,0,4968,2238,1956,0,5,3901,4793,455,3950,0,0,39,532719,777,1994,1,0,869,0,16778,2954,12541,0,1,5363,1,0
59,3088,5238,1376,17810,0,30728,0,6510,1968,3189,405,1264,8275,0,21399,394,4849,374,7213,0,152,2287,1056,5112,1179,3755,1578,0,93,738,5075,777,8939,11188,6336,1776,11465,3421,1617,2068,6939,2046,1657,2187,0,0,25672,0,20221,0,0,2718,3141,4896,737,1,8766,2544,6129,7500,0,0,545,403641,387,1026,979,0,212,0,19419,12561,5168,2434,0,3807,643,0
60,1849,909,2503,14204,699,16479,0,3635,1687,2078,986,2101,6135,0,4890,54,904,229,7720,11,1685,2570,1745,5278,895,3914,285,0,0,405,3034,3,2398,4250,1671,114,8572,3181,414,1235,2512,1488,91,1724,0,0,13474,0,11337,0,0,2963,2598,2795,0,0,2616,2126,5348,786,0,338,1662,91235,0,0,35,3,581,0,2406,4553,4022,0,0,3067,1232,0
61,911,20,335,7115,253,27255,0,1103,358,1810,404,1037,1195,0,7284,955,10788,57,5746,0,307,4722,1436,6518,1504,3070,774,0,0,1621,405,13,0,2291,1040,874,115,899,912,1128,0,2088,385,1,0,0,13,4683,1752,1022,0,4627,486,614,1086,2,1716,670,45,869,0,0,122,192307,5,5102,452,7,294,0,7214,1420,5794,413,0,209,680,0
62,1493,3242,1076,15203,115,29645,0,3228,2454,2439,1285,2421,4249,0,10202,971,6604,674,5136,130,0,4009,3458,6953,1964,3499,481,0,411,1711,1886,0,527,3661,3423,2270,776,3749,1488,410,673,1484,1743,2446,0,1,416,1,456,272,0,5631,244,2830,637,0,1961,1097,3009,2730,1,0,147,194202,1166,565,1490,2,7,0,14902,1411,9560,18,0,5654,3,0
63,637,7293,1933,3270,5779,9191,1846,740,687,550,7242,3338,3950,1543,4558,8004,1075,1512,6260,1080,1173,1314,1320,2369,881,1551,2495,1632,486,7689,1286,2894,629,2199,599,1352,625,748,1795,1506,927,1713,1604,1239,2894,4167,43828,7986,2271,1095,1262,242,521,398,865,32330,1898,1149,1454,1284,10720,2618,1253,311556,1043,2019,623,3862,1139,1548,1165,948,3303,2210,16601,847,1968,7755
64,0,665,269,4242,806,8593,2,544,1030,368,227,230,913,0,5056,26,5689,0,3566,1,0,2600,785,3109,327,2223,547,0,1,587,564,0,427,1434,860,666,789,524,0,306,316,146,31,421,0,1,13,0,1351,0,0,358,0,836,20,6,598,477,167,464,0,2,147,61233,0,807,44,0,173,0,5920,598,3823,182,4,2657,234,3
65,611,1199,403,5351,449,7746,0,2003,1162,1354,330,467,2809,0,3114,3,895,205,3324,54,118,464,527,1111,180,473,136,1,341,365,1185,1,1500,2232,586,583,2321,1163,74,196,1464,98,255,673,0,1,14526,1,2022,0,0,1587,977,489,209,2,2322,906,748,993,0,0,637,64479,1,472,51,1,176,0,3723,1625,1815,410,2,1209,351,1
66,2793,780,1391,9676,2747,8281,2,9845,1077,2547,386,2295,3904,0,9192,2,3584,952,3288,60,2,5055,1047,7088,394,3111,780,0,689,308,1919,0,6472,7264,3985,2876,12448,1084,381,763,9004,471,1945,2193,1,0,46401,1,11216,0,0,4709,3773,3427,0,2,7681,2156,2701,3920,0,0,643,239717,1001,2612,666,0,4,0,7623,7205,4841,863,0,4419,805,0
67,1667,414,572,4790,389,15645,0,2446,808,1731,217,1460,2764,0,21730,0,3393,0,15390,0,0,3045,1493,5469,1378,2804,597,0,0,288,1676,0,3686,2279,2167,1835,1960,1027,826,634,1539,2144,440,1046,0,0,15558,0,4730,0,0,1080,2134,1346,58,0,3719,1459,2580,1150,0,0,2580,86824,931,154,1256,0,811,1,5000,2325,3019,519,0,2792,322,0
68,1404,2151,564,9044,447,17388,0,724,1897,1186,1564,1893,4071,0,7207,358,3542,132,4032,66,103,635,737,1331,0,514,100,0,468,205,1102,11,528,2946,1006,706,1593,1553,762,665,261,1114,1377,1131,0,0,44,0,1942,0,0,1934,585,1244,98,2,1713,2021,1015,1499,0,110,359,86150,156,410,375,0,94,0,3552,1248,2557,264,0,2507,408,0
