,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
34,2223,443,706,60,16,1,51,337,315,776,1223,2722,0,48,978,0,10,311,0,22,22,154,130,205,87,84,214,1,96,240,151,560,0,1,81,0,44,64,157,168,109,0,544,1,0,5875,10,487,186,0,0,1626,0,0,3,741,554,163,4,1,5504,860,9,2,16,357,296,8,165,2265,212,1,193,49,689,88
35,18200,3338,1487,0,0,4698,0,0,0,7121,3455,391,0,788,40550,0,709,1852,0,0,2015,4066,2322,5509,1138,2575,15402,0,13,1098,2256,5790,0,604,8117,2,2975,5836,6336,7663,3394,2629,845,0,0,3395,0,1528,0,0,0,0,0,0,1,0,0,1518,132,423,53326,2534,1764,0,978,515,0,3615,1282,0,3711,0,4882,203,1048,1368
36,5125,1404,6408,141,9,2,436,4221,1080,2474,8441,7646,0,359,4256,0,0,975,0,134,371,4836,2423,4388,850,2907,1579,0,867,2452,1257,3972,0,1,315,1,522,5090,2988,1393,1280,145,1947,0,0,26043,0,895,6117,0,0,3837,0,0,2,3772,1285,1054,1,200,45900,2437,9,0,253,1855,2177,0,1759,2141,1338,1,1638,1194,2071,72
37,2302,303,1030,284,0,1,131,551,824,658,1657,1525,0,71,3064,0,0,242,0,50,44,255,159,549,70,271,270,0,91,427,215,1462,0,0,124,2,130,208,511,402,135,59,855,0,0,5494,9,890,889,0,0,1252,7959,0,3,1434,1134,319,0,35,18923,955,33,0,113,407,951,6,242,0,237,1,201,192,688,97
38,2687,1603,3483,555,0,3,371,2368,1092,2772,5021,5078,0,352,3409,0,0,780,0,64,1361,1132,987,1722,240,975,1722,0,585,1158,507,2774,0,31,103,1,842,797,979,2262,748,0,1384,0,0,8626,38,2005,2217,0,0,2173,13645,0,1,2196,2053,1112,0,174,13881,2243,381,0,11,1100,3070,22,586,0,1043,2,542,104,2093,254
39,1489,763,1324,420,0,80,703,1115,1063,803,2538,1898,0,119,3360,0,0,335,0,251,528,1985,1802,3292,531,2304,407,0,215,341,450,822,0,1,268,0,84,33,686,736,32,0,1189,0,0,6016,0,1091,4879,0,0,3795,7933,0,0,1783,1638,677,0,0,9982,1024,5,0,1,720,1455,0,172,0,186,0,349,0,943,79
40,5733,1817,1,0,0,110,111,0,98,2148,232,1336,0,147,1165,0,1,571,0,0,779,565,460,774,201,573,2077,55,311,248,556,1958,0,11,115,2,3820,1833,2109,1896,144,147,0,0,0,3296,3,287,0,0,0,0,0,0,2,0,118,113,0,102,176808,598,114,0,322,103,24,1858,220,0,1405,0,4649,0,1021,256
41,22956,3721,0,732,0,2,970,0,464,4124,1729,3295,242,1,272,0,0,588,0,266,2147,2935,2052,4952,892,3949,5588,0,606,667,1489,2083,0,153,205,436,1990,4012,8132,3470,35,508,444,0,0,9045,0,86,662,0,0,0,0,0,0,0,233,1617,0,0,286136,2123,220,0,303,1878,10,5767,852,0,3351,0,13502,541,1681,728
42,656,197,653,30,0,5,395,328,34,107,1028,997,0,116,212,0,0,167,0,5,260,345,169,825,199,449,300,0,40,450,268,323,0,0,37,2,75,881,828,542,198,32,146,0,0,2885,19,180,2200,0,0,273,0,0,1,178,87,194,0,0,153031,601,13,0,132,392,1127,0,156,0,111,1,170,106,349,128
43,10311,2502,4603,0,0,9376,0,0,0,11514,3104,836,0,7864,60412,0,0,3764,0,0,4115,7059,2988,13442,1606,7749,30846,1,1238,3954,3979,4309,0,3347,6428,3,5692,4509,23397,9161,8253,1868,4996,0,0,25717,0,1850,6,0,0,0,0,0,1,0,999,6655,0,789,742629,536,2801,0,1165,3351,0,851,2861,0,6011,2,4617,0,5938,2589
44,4478,1372,0,39,0,1,265,0,0,693,551,619,0,0,265,0,7,229,0,0,531,310,234,491,75,463,1438,0,162,93,241,546,0,79,38,46,1751,1009,1122,474,112,116,155,0,0,3461,1,132,46,0,0,0,0,1,2,0,6,111,0,10,107487,623,25,1,82,107,0,1932,212,0,601,1,4758,0,471,201
45,8205,5105,975,314,2,1,565,0,0,1681,842,189,2,878,0,0,0,633,0,0,1408,4662,3237,6847,2132,4556,9361,0,819,755,992,774,0,811,0,0,8015,1214,5557,1600,3,2,0,0,1,17106,2,0,786,1,0,0,0,0,36,0,0,1968,0,0,421981,1351,615,0,262,1783,1063,2514,757,0,937,7,15074,1905,815,1076
46,1029,292,809,261,0,0,162,411,478,684,1111,1890,3,80,1281,0,12,232,0,69,78,215,138,297,97,169,274,0,47,363,268,1097,0,1,160,0,21,236,397,330,229,73,577,0,0,4865,0,518,232,0,0,1453,0,0,0,801,1049,266,0,1,11636,721,5,0,75,403,640,0,264,315,97,2,121,68,408,26
47,2233,785,1698,447,0,0,554,2509,397,1496,2198,1447,43,42,658,0,0,384,0,85,132,838,380,841,404,511,1303,0,367,830,461,2015,0,35,258,2,167,1037,1659,733,356,249,353,0,0,10903,0,465,1665,0,0,217,12201,0,0,910,561,511,0,204,5303,1119,43,0,187,673,1756,0,174,37,528,0,893,97,702,216
48,476,108,336,55,0,1,64,190,306,345,591,978,0,48,474,0,0,129,0,13,36,122,84,66,29,104,126,0,32,93,142,407,0,0,41,1,49,141,208,154,129,43,213,0,0,1915,16,139,224,0,0,1324,11,0,0,389,387,82,1,0,2268,398,6,0,23,149,292,0,92,120,94,0,87,43,268,4
49,414,141,191,53,0,0,36,246,102,123,454,436,0,18,153,0,0,82,0,15,40,88,31,141,33,73,100,0,27,264,80,175,0,0,26,0,45,157,228,120,86,8,145,0,0,1635,1,206,407,0,0,179,0,0,1,122,156,60,0,13,855,200,37,0,38,90,312,0,45,395,81,0,26,5,193,34
50,5603,1449,2692,339,0,0,864,5107,3600,3364,5832,11095,0,170,8540,0,0,658,0,102,1743,1840,1247,2530,660,1460,1789,0,668,1893,1056,1543,0,0,493,0,804,981,2211,1988,703,341,1991,0,0,24340,0,3264,1007,0,0,4508,17305,1,0,3416,2557,1298,0,246,10268,2185,390,0,570,1956,4282,0,1539,118,1447,0,1201,158,1811,203
51,4299,3722,159,0,0,39,0,0,0,4363,1174,2114,0,0,5299,0,0,696,0,0,795,1894,980,2254,619,1723,7655,0,0,474,765,2575,0,510,147,0,3229,2543,2833,7630,140,0,499,0,1,1155,0,1397,0,0,0,0,0,0,0,0,1,406,0,0,42629,202,182,0,0,1088,123,2678,438,0,2919,229,5870,1,1879,1177
52,1692,590,1014,93,0,1,693,985,1910,1058,2700,3052,0,135,3058,0,0,855,0,23,119,179,493,618,89,435,453,0,170,467,531,1331,0,0,185,2,333,820,2012,564,408,49,856,0,0,18489,4,941,1797,0,0,1191,9239,0,0,1694,2010,433,0,140,35163,990,13,0,218,542,1615,0,478,0,411,0,176,64,749,30
53,240,73,305,66,1,1,57,107,242,205,410,674,2,17,489,0,0,64,0,22,38,81,62,84,24,88,85,0,13,86,43,235,1,1,42,0,10,77,141,146,7,0,118,0,0,1768,0,216,140,0,0,361,1463,0,2,281,261,50,0,1,5576,215,3,0,9,122,205,0,87,0,60,1,61,7,151,10
54,5477,2046,402,70,0,1391,0,0,64,2856,547,372,2,154,2127,0,2,237,0,0,1611,1433,768,2610,349,1019,5870,1,153,613,426,1631,1,40,4,1,1273,2310,4206,2561,146,527,327,4,1,958,8,472,0,4,2,0,0,1,8,0,96,22,2,9,113493,165,246,0,263,534,5,1795,258,0,1711,2,5339,5,267,408
55,425,213,246,80,1,1,40,243,190,248,537,696,0,25,511,1,0,56,1,25,28,83,85,114,0,76,113,0,34,108,82,324,0,0,24,0,26,63,181,109,59,17,163,0,0,1458,1,367,168,0,0,459,2005,1,2,322,271,61,0,0,1800,189,10,0,47,156,246,0,51,0,71,1,36,8,161,68
56,4673,1216,1706,295,0,0,711,1664,1971,2511,5197,9067,0,144,4312,0,0,1619,0,206,719,2449,1662,2922,504,2635,1147,0,321,1106,471,1015,14,0,469,168,138,2254,1108,1781,551,0,2418,0,1,15115,0,1616,959,0,0,2373,0,0,0,2926,1117,769,0,89,19262,1593,0,0,240,897,1989,0,744,5814,1803,0,980,644,1599,260
57,1624,229,1717,1690,45,3,1110,1154,1304,1001,2088,1717,157,1503,1630,686,3275,504,101,160,357,807,376,1242,227,484,356,300,134,950,802,1699,155,4,404,2822,149,761,2223,955,509,523,723,3377,1342,19937,2379,1789,1399,1011,904,1359,1,254,6701,885,1608,519,35,107,133549,1184,193,278,219,586,1727,47,526,247,283,824,323,1364,1027,325
58,8163,3882,0,104,0,201,285,0,71,4010,449,2363,0,709,573,0,0,534,1,0,1428,1261,533,2078,108,969,5961,0,490,543,302,2200,0,228,393,7,7193,1688,2357,866,299,644,482,0,0,4164,1,814,0,0,0,0,0,0,1,0,95,912,1,9,204899,1050,5,0,564,218,0,3825,209,0,1130,0,9886,362,1571,606
59,3112,831,1342,621,0,2,434,1075,2616,1319,2266,4536,0,0,3694,0,12,404,0,88,646,248,361,768,33,357,670,0,404,692,273,2157,0,0,586,1,226,761,1269,709,477,58,1385,0,0,17903,55,896,834,1,0,2885,0,0,0,2156,2928,439,0,0,18642,1749,190,0,348,1033,1945,0,504,2108,332,2,613,97,1029,140
60,12301,5410,0,406,0,110,389,0,26,5374,2255,2498,0,30,1290,0,1,2182,0,1,1992,4043,2420,6785,672,3645,8551,560,573,682,1107,2065,0,1130,1066,1,5249,3286,6248,5424,2116,188,0,0,0,6300,0,1,0,0,0,0,0,0,3,1,1,833,1,0,384529,3710,433,0,821,1118,0,7673,955,0,4390,0,25787,629,4449,844
61,9321,4278,0,401,0,309,658,0,131,1089,817,1474,0,0,532,1,1,624,0,0,1323,1514,743,2040,363,1165,3667,0,509,0,289,897,1,17,1,1,6803,1056,2402,1639,475,211,125,0,0,4769,0,642,0,0,0,0,0,0,4,0,0,254,3,328,133128,794,13,1,511,266,102,3122,869,0,2123,0,8833,1,1687,529
62,906,308,337,452,0,0,976,398,1062,260,526,1096,0,4,1435,0,0,253,0,0,73,753,375,1022,151,728,144,0,7,311,171,382,1,0,381,0,26,244,558,318,450,123,350,0,0,9880,0,310,1048,0,0,747,8295,0,0,614,370,409,0,0,31556,2025,3,0,65,202,554,30,563,0,249,1,14,3,302,59
63,2893,654,655,310,0,2,249,2436,1900,1497,5777,10568,0,217,4554,0,1,1332,0,25,958,1599,2047,3471,912,3167,2104,0,276,1149,608,572,1,0,1286,0,152,271,919,1775,1660,213,2369,0,0,45153,0,1687,2204,0,0,4540,0,0,1,3431,1790,276,2,567,14849,2968,0,0,501,1786,2493,1,426,4556,905,76,901,45,1761,550
64,979,230,411,119,0,0,80,286,200,256,576,625,1,23,266,0,2,70,0,9,54,108,72,102,33,62,130,0,40,227,109,406,0,2,40,0,65,213,365,175,88,63,96,0,1,2473,1,273,301,0,1,281,0,0,1,413,420,115,0,12,27526,384,3,1,49,127,374,5,50,212,47,0,117,20,295,30
65,6910,1838,362,0,0,3228,45,0,41,2482,263,206,0,581,4896,0,299,525,0,0,666,1511,573,2502,719,970,4183,0,281,346,380,2375,0,219,943,1,902,1393,3479,1275,962,407,1184,1,0,2382,1,111,0,0,0,0,0,0,3,0,0,451,1,267,129017,583,94,0,236,173,0,970,655,0,355,0,3003,0,382,286
