,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
24,5577,1837,776,0,15,0,427,2173,1161,3600,3859,505,0,1331,0,0,2089,0,526,0,0,6,12,4808,1797,4223,2207,2534,434,1,1453,995,2,132,1087,225,345,855,0,4579,663,367,1433,105,708,1601,3880,2065,251,0,337,6002,8975,2774,0,581,9620,0,0,0,3940,0,507,0,9769,212,0,0,36422,306,0,131,0,1046,1225,3002,949,0,1488,0,1517,240,0,414,631
25,2718,838,259,0,0,520,1,556,548,10571,2258,429,750,1840,0,0,2591,0,1036,0,0,0,12025,6366,6719,8520,2796,6122,2372,0,863,697,2022,0,604,0,373,0,0,597,124,1909,726,1556,1827,811,1970,1138,1199,956,0,1531,4440,423,0,403,10014,0,0,0,2061,0,911,402,1393,0,0,0,152488,0,0,0,0,3708,624,1264,296,0,1670,1,1288,1150,0,609,1817
26,15467,8231,430,0,1163,3026,5463,3479,3287,32639,6779,336,2485,8021,237,0,23311,0,6248,0,0,122,38800,4230,2244,5359,1612,3518,7381,0,4058,5888,19253,2227,5920,4114,3418,5548,1,3860,2871,862,7791,6316,5360,6598,20866,6479,13311,7179,1255,19622,32642,8245,0,2106,14023,0,0,0,4837,0,2552,0,16485,2388,0,245,542374,11754,622,1260,2043,41272,7399,11321,3602,0,4877,0,11189,5048,0,2932,8669
27,1034,431,932,0,0,0,1545,678,1767,5235,945,180,391,0,0,0,4829,0,1583,199,0,599,7207,9890,4201,5258,492,5326,444,0,2532,421,1839,659,3312,622,0,646,0,310,660,0,1553,954,613,117,12390,973,3091,2774,0,3685,1057,978,0,0,4097,0,0,0,455,0,316,6,3178,254,0,0,162052,1697,542,318,0,1655,1226,5013,938,0,5325,0,926,330,0,737,632
28,5967,1057,402,0,0,912,685,1014,785,9890,765,183,777,3791,0,11,6785,0,1555,181,0,614,2923,2207,1217,1941,1382,1019,1254,1,597,1913,7638,950,903,990,65,2213,0,2025,669,2048,1591,1526,1639,918,6069,3006,5130,874,333,2784,7384,1082,0,465,8994,0,0,111,1927,0,69,0,6326,0,0,647,75816,3272,0,186,0,4013,1046,2810,1957,0,2068,0,3216,1058,0,671,2687
29,3623,1250,408,1,0,744,1,1007,884,9211,1999,0,685,1032,3,0,5001,1,1504,11,1,97,7919,3284,2789,3781,892,3884,2548,0,745,557,5526,1009,2281,0,837,157,0,3569,381,4,1379,2002,116,661,8201,2013,3240,1080,0,4089,4788,509,0,0,3146,0,1,0,860,0,378,1,2458,142,1,571,115417,2733,0,0,506,204,806,3171,607,1,1899,0,379,1620,0,968,1258
30,6181,1910,0,245,0,0,131,1097,929,9104,1011,0,301,0,762,0,4259,0,2571,196,0,0,36,4559,1724,4395,1797,2328,876,0,1311,1605,2,1081,375,24,1473,997,0,2339,668,0,2964,1379,250,949,2799,1066,406,355,962,1513,5943,2006,0,342,5144,0,0,0,1012,0,888,1,6332,478,0,204,28997,703,0,310,1,4449,1758,1675,2,153,738,0,2518,1161,0,750,2782
31,7364,2398,771,1,213,1381,1701,1060,1926,12546,1549,7,997,2117,256,0,14620,2,1951,1,0,221,13162,4248,2811,4967,433,2567,2024,1,835,2265,9880,423,1206,332,118,1974,0,2266,2290,480,2194,2311,1729,526,11502,2308,15107,3208,877,2292,2474,688,0,857,13125,2,0,0,2434,1,260,2,7363,711,0,293,232347,1560,249,267,534,4868,693,3751,2317,182,5782,3,5494,1631,0,947,5814
32,4644,642,4,0,0,4206,491,868,1283,13585,1045,401,2043,1758,0,0,11388,0,1490,123,0,144,2970,3959,3018,5457,1165,3437,3537,0,425,965,1190,679,852,893,401,30,0,1768,1349,1301,2658,1666,810,1427,7552,1948,6682,2414,1227,6027,7450,1616,0,287,6750,489,152,0,960,280,889,1,8269,268,0,587,188557,7239,664,0,90,4698,848,2932,2139,206,2964,0,8485,567,0,678,5278
33,5556,1835,314,0,53,1124,875,1384,388,10707,996,779,1712,924,0,1,11060,242,1131,0,0,104,6573,2277,1944,3676,325,2235,2146,1,1843,2424,4670,618,1499,514,285,458,0,1139,1031,282,2469,1516,749,1224,4627,1152,6883,1401,536,2105,3560,264,0,1,5812,0,0,0,1892,0,795,1,4760,823,0,307,191144,1152,0,374,193,3997,2035,4576,3084,0,2719,1,2435,114,0,936,3162
