,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
26,394,10,0,36,215,0,9,165,530,1059,615,10,137,0,429,2,135,0,1,2,1623,105,129,236,981,1343,105,244,1626,109,96,190,2,290,117,1,16,250,0,11,0,231,127,244,114,594,207,1,1,1047,1065,181,0,30,20,1,1,66,16,165,38,0,1,2135,110,0,344,143,437,1075,2,42,49,0,45
27,11060,1815,0,126,532,2304,2428,2099,1606,24007,3007,0,442,576,13059,1,3038,2132,838,16367,3980,597,665,807,3849,8713,774,1061,6597,298,238,4942,0,3156,4219,1487,716,4606,246,289,0,1505,697,2602,3673,6446,4886,23709,1701,9703,16245,3911,0,907,6143,0,0,331,0,14879,1673,0,0,135838,4360,20,6773,1108,3536,2620,0,7109,1817,0,3100
28,14724,6380,1,1448,494,0,381,4071,3154,32274,6368,149,0,648,18216,1,8630,671,3,192,15431,1191,2110,1337,6450,29071,480,2733,12612,1139,2287,4386,0,7775,5717,1,4079,2452,37,1578,0,14339,9060,4531,7044,27946,992,0,6058,25893,34665,5917,0,2708,5817,0,0,1909,3,29158,3439,1,0,153368,5889,0,13825,6343,9669,7183,1,3460,4470,1,16327
29,3048,2623,1,34,0,1150,48,331,769,2256,89,46,368,0,1825,0,1639,286,82,1568,2521,133,179,263,1179,4654,537,876,1728,154,60,717,0,583,956,3276,691,892,70,466,0,1448,959,335,977,1813,219,1214,1,2268,3654,213,2,236,5331,1,0,2468,3,3478,2,0,0,52446,80,0,627,642,1779,643,4,2706,1137,1,8
30,405,2,0,6363,1000,0,0,4,401,361,429,0,297,3,1,25,204,362,490,0,4022,619,107,634,3369,6151,88,605,3256,300,391,76,92,0,0,1,263,40,2,25,0,0,38,26,459,0,224,1,49,0,3,26,0,0,4508,0,0,11,1,51,46,226,89,12827,4,0,1,0,1322,295,405,124,119,0,767
31,418,38,0,0,263,3,63,1,103,1012,1,0,0,0,1567,1,0,40,0,2,2949,715,317,476,3902,4969,10,1123,5257,84,317,14,0,5,320,0,0,8,0,0,0,2,0,427,172,64,1,0,1,401,1215,1,0,0,259,0,0,343,0,331,1,0,0,42482,523,0,632,180,68,901,1,891,81,0,713
32,419,2,0,0,131,1475,5,0,320,761,381,1,2,0,413,1,0,50,2,1589,2947,429,96,150,1610,2559,0,395,2534,411,241,234,0,41,684,1784,128,726,297,1,0,19,229,236,193,417,1,635,273,339,399,95,0,137,8669,0,0,1673,4,555,0,0,0,38104,199,0,1408,9,430,983,7,522,31,1,377
33,28064,16012,0,811,7275,25925,188,8745,7365,63652,15836,1190,580,1,35505,0,9643,2707,4591,35199,10259,566,0,708,9826,10784,1947,3990,8843,3397,1637,19340,0,11868,2002,19563,2941,12390,2637,177,0,23841,5125,11032,17674,25617,5057,7995,1646,7142,24257,7878,0,0,18158,0,0,21905,0,36986,3997,0,0,124769,7312,0,9468,18725,5223,11415,0,22440,2165,0,14732
34,2757,548,0,100,535,615,40,625,596,3631,623,81,224,0,2621,0,398,152,261,138,2189,216,352,217,1857,3047,277,546,1471,50,117,416,34,600,453,4,316,441,306,0,0,622,932,339,348,944,571,103,142,750,3468,612,0,0,4384,0,0,172,0,902,12,0,1,22619,80,129,479,850,1312,1730,0,1523,640,0,612
35,1230,676,2,146,3,304,320,373,696,2535,1337,1,467,0,1590,2,772,0,1,16,2547,444,0,291,1699,3278,225,420,1868,137,299,980,1,259,282,3181,108,379,184,0,0,1875,323,89,215,722,391,199,94,836,1036,514,1,2,1399,1,1,802,8,450,12,0,126,13418,308,0,969,379,718,739,4,831,125,4,223
