,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
45,7204,3639,1549,1681,7031,0,1178,139,3378,10321,4278,32,4166,0,0,8304,312,5754,2085,646,2016,6095,4357,11438,3254,4940,2774,4439,1272,6575,1669,1387,1594,2164,2188,6557,2276,78,1894,1889,2714,1462,4948,11307,17123,19176,7173,9404,647,0,2823,14601,33845,0,4200,0,14623,7407,0,0,0,5310,2232,6098,3325,1549,797
46,11994,4071,361,3136,2233,0,2784,10446,6057,76684,14268,60,9097,0,1,28165,1339,18205,12136,3,1653,11988,5307,21001,8799,11900,7521,5123,5835,5909,5829,4650,1008,5449,6630,9328,2837,2356,12299,7169,9069,31405,6411,1426,49626,59592,7318,13915,0,0,7462,30228,256181,0,17322,0,31959,8900,0,0,0,4650,8821,16560,5431,2763,19123
47,945,79,99,655,21,0,335,271,441,5882,629,364,610,0,161,2719,133,787,530,0,116,3071,1808,4583,1175,2914,600,680,690,79,222,655,14,329,511,1219,124,344,1161,553,1202,1671,436,162,2213,4619,1558,4093,0,0,1008,1501,44636,0,87,1,1085,499,0,0,0,1431,2188,390,174,912,680
48,276,21,23,25,71,0,46,0,214,531,104,12,47,0,26,176,0,35,0,15,135,1652,1120,1216,351,1206,55,132,209,0,40,26,13,31,68,41,82,2,280,54,58,233,55,9,459,208,244,840,24,0,23,152,3423,0,1,3,162,29,0,0,0,291,722,343,32,73,205
49,8693,558,429,665,1329,0,763,1,2413,25202,7213,1178,1359,0,1,9323,985,1143,1046,1199,1,7664,4930,8343,861,8120,1718,422,1589,1,810,1420,955,946,235,2315,1076,831,1256,1428,3439,14290,3468,2,6358,15531,3048,8764,0,0,604,3985,154343,0,2686,1004,1054,2737,0,0,0,6292,12167,6015,2730,741,3039
50,465,356,199,0,4,0,399,716,768,4129,510,296,4,0,0,1917,177,604,0,0,316,3094,1859,3167,1633,4369,1663,249,207,439,550,441,72,283,217,339,168,0,742,278,70,2213,887,91,2489,3564,493,5,220,0,408,1618,6897,58,583,129,188,598,0,0,0,1057,3143,162,1,527,128
51,639,428,160,185,0,0,0,280,613,3487,1247,0,360,0,0,2204,108,381,161,295,295,2328,1948,2902,317,2224,254,634,140,521,89,210,171,177,0,956,209,206,401,441,960,1675,444,110,2277,5246,469,136,1,0,157,1461,13104,0,403,0,209,592,0,0,0,1101,1865,553,13,468,845
52,402,243,250,970,55,0,1,443,203,3911,416,0,269,0,61,809,140,403,189,79,228,1300,571,986,511,1410,710,306,26,0,133,313,67,84,138,548,271,0,377,76,199,0,303,1,1073,2099,266,1345,0,0,257,2685,3438,0,368,0,497,412,0,0,0,740,681,843,414,48,199
53,1925,69,0,19,182,0,1456,38,2786,5842,2572,262,603,0,2,2105,221,1263,22,1,618,27,405,723,9,817,1373,44,477,350,0,682,0,171,9,1997,172,0,1298,835,855,178,748,585,7829,7642,565,17155,0,0,1006,238,60567,0,1820,32,1404,2335,0,0,0,899,1275,3516,84,1142,0
54,1041,87,648,0,0,0,281,466,34,138,252,70,0,0,0,0,114,342,0,367,0,2276,1865,2402,754,1973,447,253,0,1,24,176,234,122,39,0,213,69,258,18,558,0,1208,0,0,0,0,2232,510,2,0,20,4452,0,1,157,0,0,0,0,0,536,746,145,111,209,0
55,2664,957,207,790,2092,0,214,1207,1694,12849,1690,3,1197,0,0,4096,168,1134,1578,572,201,1803,1139,2913,638,2267,435,923,1212,3,754,1034,310,1149,459,2740,345,358,1319,873,2520,1395,1052,156,10736,15041,991,2435,292,0,361,5787,30867,0,2641,11,9203,1021,0,0,0,3007,968,1882,345,197,2895
56,3611,1284,129,117,140,0,73,453,414,7871,1366,214,1327,0,0,2832,432,2176,1183,1,1725,1359,1581,3496,302,1565,1647,1407,827,947,530,1434,75,873,401,1977,774,114,1919,584,678,4064,1,1972,3274,5477,615,1745,0,0,793,4715,87688,0,3009,367,4055,849,0,0,0,986,1572,1440,1932,279,2441
57,6688,2365,1381,1534,3654,0,920,655,6384,27704,1372,100,2517,0,0,13174,614,1823,454,1358,12416,3873,2596,5331,378,3034,5496,3896,1894,16127,2133,3564,587,1597,1958,9349,1525,90,1044,1736,3639,11684,5168,8866,8381,10795,5410,3852,120,0,2002,14015,165441,0,5043,346,23348,1071,0,0,0,3477,4316,2639,692,1656,3533
58,16277,5073,2054,953,1656,0,1467,1270,1249,16966,3698,767,1607,0,0,8740,899,2812,17006,0,822,6713,3658,9586,1624,5195,1410,3490,3098,0,1964,2822,853,3818,1570,4259,1084,842,6353,1495,2902,12803,820,173,12452,23360,2939,21488,0,0,2278,13404,101438,0,6167,379,14937,3521,0,72,0,5998,2783,5877,223,891,7503
59,13177,4309,1,2331,5559,0,2846,3155,3185,9866,2932,925,3761,0,0,17043,450,3116,19386,232,11419,11634,3329,12793,1709,9356,9204,5918,7408,33498,3128,1886,2,1838,2494,4957,1338,255,6361,2089,3405,11499,4726,8750,20187,31688,3730,10823,0,0,3181,19780,790968,0,9671,49,14007,4923,0,0,0,9574,3988,5759,1931,1752,10550
60,16810,4839,277,2091,1692,0,25,1442,3763,22660,5491,1,1592,0,0,15956,534,3957,48,204,0,11235,5428,27530,1548,15707,4170,5456,33,1,3370,653,2662,4358,3128,8304,15,1,3563,4176,6047,17213,6798,309,19445,33727,3767,8184,862,0,7115,17167,394936,0,8353,651,20730,7815,0,0,0,6901,4467,3749,1128,2215,6775
61,774,438,0,515,273,0,0,230,488,3660,487,0,309,0,0,2502,277,901,38,1,224,1840,1751,2198,571,1339,319,940,234,15,204,427,13,110,617,907,1,0,102,48,368,1912,108,9,1465,2847,369,2858,0,0,1074,4256,14963,0,446,107,771,651,0,0,0,459,1298,1466,470,215,164
62,9588,2533,1152,2807,878,0,215,381,3304,13220,4708,7,2084,0,209,7503,471,2117,1150,896,2119,1809,1277,2149,672,1922,1514,2397,2329,479,674,1399,471,1067,1407,4024,635,362,2653,966,3087,4476,1374,125,8131,14877,1028,7216,255,0,1845,6441,156648,0,1509,355,4358,3669,0,0,0,6727,4222,5228,1486,989,2366
63,353,97,2,157,272,0,1,126,227,1817,505,0,103,0,0,1120,112,78,587,7,82,1260,1438,2339,608,1901,174,135,118,0,477,123,184,1,240,362,391,0,437,61,331,927,305,60,305,1535,190,638,0,3,713,1215,12240,0,228,0,781,426,0,0,0,710,374,1294,0,166,312
64,801,120,138,228,47,0,33,142,1210,3982,615,71,198,0,0,1311,123,125,5,47,109,1574,1338,2036,277,1246,168,222,128,383,152,224,0,175,245,1063,247,10,757,315,149,1875,293,105,1604,1953,637,2417,135,0,326,2321,7158,0,66,0,157,148,0,0,0,341,734,289,1,276,157
65,1139,285,0,821,265,0,106,95,255,2211,977,2,661,0,0,1721,25,777,1,12,1554,1092,681,2584,436,942,464,305,187,2287,103,301,239,253,117,1322,499,105,275,113,147,1017,225,1547,1574,1789,319,2333,0,0,225,2328,61110,0,193,38,819,874,0,0,0,228,300,1275,462,213,401
66,1431,815,363,1194,386,0,19,405,276,6508,717,4,270,0,0,2221,36,685,225,140,177,2162,1065,1740,977,1659,619,573,1051,0,162,226,0,190,178,546,191,139,1530,76,1253,2726,109,125,1178,2195,272,823,0,0,320,2197,19662,1,1005,25,1288,679,0,0,0,672,880,394,1363,168,965
67,29973,3841,2918,5413,716,222,1236,266,1266,23679,6270,1325,4957,0,0,32286,1301,11426,95,0,2,25149,2459,71042,6567,31569,5180,0,7,1,1,3934,0,2,94,3797,50,5477,2578,472,14752,16376,1702,0,9414,32279,8700,2947,0,0,1478,10444,256041,0,2037,1655,786,4041,0,0,0,21631,6609,7735,3518,1919,7879
68,1167,2251,0,3279,457,0,450,1,5837,9851,3565,109,844,0,189,4908,146,39,122,56,594,3387,2683,1394,3,2491,80,35,1561,379,1221,2017,0,1,760,20,1,1020,2328,0,670,5719,2142,742,4115,11603,1075,20183,0,0,1591,1279,59585,0,2120,885,3822,0,0,1,0,1335,3210,4650,85,527,0
69,5149,366,419,0,700,0,70,0,1603,16530,2970,1,1353,0,218,4216,459,6655,1104,0,0,21739,8477,33794,7896,28829,13,22,656,1,0,73,2,251,5433,1560,22,0,0,1190,4659,2726,1575,0,6855,12565,211,1369,0,0,2157,2001,138903,0,682,0,83,7,0,0,0,3398,3536,3441,0,1330,904
70,4175,4577,870,141,13,1,1306,1901,4422,16406,2580,0,7344,0,819,11680,1155,2432,7266,0,5457,5417,3902,11179,2199,9476,2568,2052,4237,1,1748,2883,24,6053,3812,3153,1657,521,6927,1480,6457,12094,9386,1,12190,15023,1876,10768,130,0,3555,13580,149545,0,865,554,15425,2414,0,0,0,6592,1715,5888,4186,1738,5885
71,25155,19061,529,13427,5123,0,636,1800,1656,9349,4869,960,9274,0,1792,2756,785,6874,587,1,19040,8697,3794,18622,441,9198,2329,4060,4100,39924,3062,4586,558,2810,4480,6933,3815,3906,13038,3558,5517,4483,5025,9291,13903,11359,3182,11477,95,0,8170,10436,400505,0,1219,232,2286,10184,0,0,0,1650,2636,7845,2743,3026,40
72,3870,1889,334,1665,229,0,42,1794,1820,21503,2647,12,1575,0,0,5837,495,3243,1595,437,1637,2269,1308,3988,889,1703,1960,2457,1040,130,855,1323,687,706,2416,1918,1125,438,1910,1557,1453,7845,2204,914,7119,9033,1704,7149,247,0,1288,10418,109680,0,3498,166,4374,1133,0,0,0,3623,2059,5383,437,678,2686
73,2348,4169,387,1704,41,0,140,608,1218,1833,1357,82,759,0,10,2265,4,850,94,213,1388,1809,1157,2093,429,1626,1744,795,57,0,558,149,0,422,1740,1924,250,165,1305,263,1119,929,1329,1,5126,8664,901,2439,1,0,515,1552,10449,0,440,2,1282,1060,0,0,0,1552,651,2413,469,342,613
74,3940,390,208,2621,928,0,261,928,2276,11510,3009,272,1106,0,0,4818,489,1842,1011,345,2823,2743,1494,3826,609,2113,1691,1778,2899,1006,332,1501,178,1431,1666,3264,829,377,2642,816,2457,2775,1215,187,6257,6687,1895,4362,0,0,1986,3906,139760,0,2854,8,4691,3116,0,0,0,2693,1286,4465,1144,867,2020
75,7983,4561,1796,4559,6086,0,1389,2593,4323,29717,3715,679,4527,0,393,8648,488,4466,3968,705,12662,3991,2034,4631,191,3461,3391,3189,4969,4419,2433,2898,1765,1863,2905,12746,2077,1319,4283,3032,5416,12911,4633,11627,19376,30763,4634,9514,975,0,2537,30172,70011,0,12225,299,25509,7013,0,0,0,4786,3395,7238,2193,1683,5425
76,5336,2045,616,18,1718,0,309,1644,2067,2428,1556,197,765,0,0,3356,147,1184,789,289,2518,1823,972,2359,959,1280,3678,2707,375,846,457,751,501,1400,1701,2843,1643,636,1600,851,1572,1800,831,6660,5682,6715,1413,6677,0,0,1661,3488,164658,0,349,95,7213,2387,0,0,0,2949,1675,1196,664,687,3302
77,652,1306,348,1667,481,0,1108,957,1469,15375,1342,29,1,0,0,7595,814,1885,27820,0,699,8013,3197,11602,3057,8082,1471,1349,2279,2,306,0,1,1429,763,2559,832,476,1668,681,2818,7657,1332,0,6343,7133,2370,11478,680,0,916,9605,128527,0,2343,548,8939,1797,1,0,0,4158,2998,4922,7,884,5080
78,8279,6276,970,4479,3309,3,218,2243,1321,19388,2111,929,3816,2,377,7989,474,2124,2930,1049,8978,5033,3052,4916,1448,3707,7861,3107,4812,8871,2015,2141,335,1036,1330,4322,4501,666,1086,4927,4284,7348,2781,18833,5219,9077,1689,5172,283,0,3341,18830,138482,1,9941,186,12546,4478,8,4,5,2957,3136,4007,703,1282,653
