,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
28,278,2078,966,1169,601,544,743,34,1622,1228,8970,1156,1024,705,2222,879,239,3304,1470,2760,517,780,410,3787,2732,375,354,2326,3789,1115,3115,1092,0,568,189,352,1487,2722,434,8821,554,2304,58,1055,1427,116,1138,307,130,779,924,877,497,1257,4594,2429,1050,2021,665,564,1492,6109,665,10340,1010,527,876,1750,1141,1013,0,9653,918,138593,2403,5008,918,2273,2300,52,516,1276,1155,361,545,2090,734,801,478,944,1950,493,2004,3132,920,911,834,1449
29,1328,10137,5471,537,648,681,5049,2305,745,1308,11293,2844,2706,1388,2297,1577,4294,4287,421,1792,552,2358,680,5595,3062,312,324,1785,2745,934,2160,3643,171,392,728,626,2733,1388,839,7084,788,2099,1238,1238,2166,409,2356,2912,104,1937,1807,890,733,1883,6377,957,6245,3882,654,1480,4439,10539,2998,16311,1647,1088,2179,7588,2696,1503,2715,9496,1593,282069,3164,5349,64,1788,4836,925,727,1819,1075,1194,1215,3655,176,97,203,394,1686,2745,1473,1741,3325,777,1239,1443
30,536,1933,1507,1023,953,643,0,492,1524,1836,7390,118,2145,0,549,662,436,5680,415,441,394,370,638,771,3929,469,170,2150,2476,553,1901,362,1120,585,939,969,867,0,662,1,1059,903,746,1002,1320,732,1941,927,422,272,741,902,958,2147,2854,2020,277,1,871,1553,5211,5071,987,4229,876,1465,482,412,981,90,990,2289,763,20012,2776,5864,265,28,634,182,1359,727,150,226,782,0,540,0,1570,185,1747,1038,5250,1659,381,900,1206,1071
31,0,800,542,214,0,298,130,137,0,433,3999,236,725,0,300,0,0,387,418,878,121,0,346,1012,1987,671,499,3026,4793,1277,3681,225,0,0,101,34,398,0,278,1890,473,342,2,85,734,33,146,402,0,428,521,0,231,271,1281,527,0,286,1,0,2246,1793,405,7,441,242,529,473,13,185,0,1601,0,20898,82,764,0,34,352,240,0,397,0,152,0,1,368,0,285,0,1401,4,1032,381,524,508,523,412
32,522,2296,445,233,292,412,236,332,127,901,9400,103,1716,241,28,600,342,496,84,395,426,1828,0,1770,2364,544,277,2607,2807,893,3286,739,238,1001,338,139,0,627,246,314,1400,484,360,221,88,253,1588,363,360,365,1258,1681,215,335,3302,1114,64,0,355,3,851,3557,54,7263,392,749,268,621,794,552,3,2452,298,72837,510,1853,23,466,1777,1187,2116,1748,868,602,1370,292,823,165,1388,429,711,711,6358,186,123,329,1340,711
33,1610,5110,1470,1243,1478,2950,877,803,1196,2144,22193,209,4130,0,1728,1696,581,11090,1863,3500,889,5610,1,6885,2708,361,265,1793,2875,551,2751,3667,1908,1793,1220,962,2692,743,1243,1513,1592,1676,1528,2101,6373,2613,1582,2456,213,1426,1635,1613,1993,1513,5404,3348,1069,248,2428,842,6238,11288,1121,9439,975,1682,829,989,1381,345,3210,7616,1626,90464,11077,10508,745,1167,2629,802,1623,2664,1549,526,1316,1565,742,1997,3134,2476,2965,639,5528,4414,2354,1056,6812,1623
34,395,1828,1269,972,802,289,369,631,478,1330,21634,0,3135,0,761,762,943,8851,356,1363,1157,2031,0,1514,5998,663,671,2251,5420,395,2775,1416,247,334,549,649,1419,284,613,0,673,615,929,969,2675,0,944,1851,0,1339,736,211,1634,1651,4910,1792,1,0,2226,1730,4957,5244,1876,6699,925,1022,126,393,2362,1170,3237,6799,1805,25265,2592,6535,352,1266,1359,1386,1994,1001,1178,1168,1067,2076,293,679,97,400,2321,943,7648,999,516,907,531,1851
35,0,1193,660,749,491,1,0,4,495,2525,4086,0,448,0,0,0,1,1371,521,1086,633,0,1,507,3172,495,536,2808,7208,489,3145,1325,602,0,0,279,0,0,0,855,308,930,315,263,1932,1130,226,1,0,472,0,680,431,622,828,203,0,518,1,181,1295,1201,477,83,160,0,167,1,657,267,44,642,228,28311,1077,1460,330,0,750,0,618,501,219,1,0,1,0,175,1702,0,1274,364,1361,457,158,333,465,366
36,8,1919,640,349,271,637,406,240,597,976,3223,189,1128,0,373,163,145,3349,424,1160,441,1122,61,6,3294,406,710,2553,2922,585,3702,1112,131,97,31,953,0,549,652,204,452,583,203,292,645,861,751,384,395,268,672,744,710,330,705,440,3,5,710,0,2836,3156,1288,3902,101,401,254,13,448,841,6,2262,22,77741,672,930,0,375,558,442,109,444,619,564,487,282,168,1022,919,0,638,238,1907,1396,515,138,819,0
37,1071,3937,2716,1281,131,0,0,517,1251,1523,9277,266,2699,3803,3737,2613,1,9368,0,69,3362,0,1619,1181,2749,623,456,2321,5213,1125,3123,1021,2822,549,2808,282,2119,992,294,2,508,1084,1138,837,820,373,646,624,0,1735,756,1940,348,3974,6098,1177,9,89,916,0,782,1763,1767,2676,1009,1047,1215,1275,263,1903,0,388,1186,56923,1578,3184,3438,0,796,961,1080,8512,2650,345,113,250,827,0,0,1440,8737,974,4892,1620,0,906,7102,641
38,20,1476,258,10,634,5,0,31,460,610,2664,1,102,5,0,1,0,1680,1059,237,182,49,5,159,4465,575,616,2600,3051,804,3404,500,990,429,0,258,444,0,917,1,367,173,0,6,0,276,248,10,0,295,0,825,407,129,1362,647,104,0,539,0,1541,1481,1640,831,189,3,181,145,235,810,204,1027,360,31081,550,504,185,19,391,467,558,4,221,64,20,0,0,0,1,0,2298,463,649,393,657,177,0,618
