,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
45,6077,561,1994,2893,2238,47916,2515,42283,2432,1453,2719,2220,3462,3108,20573,35693,29631,2078,20821,1196,2989,944,3960,1070,2063,2473,205,2258,6483,665,1308,8601,2693,6343,652,6837,2406,2359,341,4830,2513,3813,3101,162,3083,1317,2850,5289,5012,17561,2460,4038,2085,2,1716,5239,1976,4258,1730,1128,1905,267571,114,1152,1833,4059,2879,13867,2415,1285,546,17446,2411,4244,2518,3002
46,1116,86,984,1633,321,3992,0,9190,1424,934,838,1161,424,345,2568,3406,1400,70,4211,273,2438,1168,3228,341,1900,149,269,174,402,179,111,2544,363,194,1115,1092,128,989,339,566,224,407,879,297,1225,368,335,1082,486,1102,13,0,927,0,1302,677,967,307,161,242,481,92171,75,251,830,201,41,2640,1464,409,402,2013,294,1599,844,927
47,1,6,42,5,0,779,40,495,257,105,0,15,0,48,10,32,748,6,345,2,9769,2378,8583,3520,6949,1,126,314,144,172,178,114,1750,1154,339,1,1,66,19,6,0,519,17,8804,0,9,687,8,354,42,197,34,26,1,757,0,118,0,51,80,58,248361,78,94,12,1,49,749,148,0,18,2177,2,58,453,0
48,1623,64,652,780,1570,18098,415,10571,436,209,1713,498,1533,1,6283,3804,3801,634,4513,221,1300,842,2279,456,1039,492,180,639,1918,287,0,1044,227,1353,249,2241,1044,874,399,588,679,1534,569,478,948,544,416,1706,858,3262,491,680,891,0,372,2241,424,781,447,146,47,17778,215,291,142,304,311,1944,542,1131,4,2605,702,1139,768,1439
49,5030,892,0,578,1030,14297,2662,49665,3700,2891,4560,2399,1959,1919,5548,24074,9937,2201,20178,876,4445,2084,12024,3255,5959,2010,133,1874,6655,809,1265,8395,3862,1558,2383,3750,1969,1137,1879,3298,1477,2353,3413,16,648,207,1270,1703,990,3444,3099,3708,1453,0,2153,7114,3682,4072,2456,1398,1384,799098,1446,2233,880,1083,2890,22208,5081,2070,911,11407,2202,9885,1445,38
50,950,920,180,188,243,2847,333,4264,933,342,254,208,511,537,1260,2747,946,385,4280,4,1729,1342,2872,1066,1020,111,1020,333,444,1245,150,433,312,339,839,404,467,601,614,234,402,169,393,23409,323,168,262,11,1083,405,43,735,773,27,897,1224,457,170,504,172,354,76180,664,60,332,311,702,2156,1352,537,166,3202,184,1007,193,113
51,5007,4816,4127,1629,3759,21733,1449,22743,6476,3787,2889,3712,1551,1483,10510,24617,6752,1098,15359,2039,3072,830,4808,1433,2801,380,4616,1650,6234,7062,3038,7660,3159,1869,10692,3240,2005,1471,6421,3657,1676,2763,1222,23669,13300,704,1777,2551,2462,7261,3657,3867,3519,0,7021,4641,4913,2092,1238,596,2597,129565,3319,1056,3243,3310,2084,8215,4979,1074,1368,11302,2614,5993,1728,1766
52,542,27,341,235,560,5301,106,8640,586,145,556,140,468,1219,2394,5700,1210,75,3424,2,704,554,1041,256,693,248,319,203,783,1188,159,871,299,188,978,763,526,379,392,707,160,905,0,35,1518,73,630,722,474,1987,706,696,1119,0,725,765,380,379,338,29,67,4915,350,160,246,265,594,1056,759,114,246,1216,433,971,186,219
53,4360,4178,2518,4264,2325,19048,2224,35358,6125,4871,2251,6711,1613,4044,7832,30353,6344,2392,11657,592,2548,1084,5379,713,1750,1492,4216,2210,6067,4926,3312,9584,3978,2049,10691,3795,1088,674,3412,1859,2455,2474,2370,19683,13325,3073,1110,2084,2140,5771,830,3392,4267,0,7838,4249,2594,3738,2238,1119,963,159390,4289,1348,3755,2632,1290,9352,9235,1525,1322,10533,848,5949,2588,4671
54,4272,0,1495,5299,6931,32664,23,18971,2445,629,6709,0,1426,0,14332,3798,8278,0,4911,4,7946,1897,6311,1854,5110,2054,1,1769,11084,63,0,23668,2053,5623,560,6127,2064,4559,0,1937,19,3327,2895,5,4,841,1141,329,1208,9812,41,0,11,0,1722,5621,121,2596,209,31,497,390664,474,3600,697,676,1132,12708,2099,2437,999,7178,1,5032,2538,2084
55,2314,2209,5461,3593,71,13837,1,29597,7252,2214,3502,2272,1746,2427,13899,13763,17321,172,10041,78,8868,3944,15665,1973,7401,0,1570,1364,5124,2204,7,12949,4303,2997,2165,3379,3624,304,0,4057,100,2840,3918,34,1,1000,4516,1473,532,9375,404,3151,1621,763,1104,1892,1948,677,2217,153,15,564084,236,3419,1318,35,1453,11754,2987,661,203,11177,203,5856,1572,10
56,273,68,4006,34,14,4342,177,10001,2039,1027,1883,280,308,722,3774,1511,3284,0,3164,710,4174,1565,6740,1199,5208,4,60,492,792,1388,223,798,1230,10,2571,2,623,610,760,79,893,1189,543,5263,2139,2,568,1149,297,993,1070,1258,748,0,1262,1062,1151,3610,286,743,41,652809,728,1649,180,184,43,2196,3611,798,1859,3870,996,2207,76,19
