,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
35,1193,660,0,0,0,1,4,495,2525,4086,448,0,0,0,0,0,1371,0,1086,0,633,0,0,0,507,3172,495,536,2808,7208,1,489,3145,1325,0,0,0,855,308,930,0,231,263,0,1932,226,0,1,472,680,828,203,0,0,1295,1201,0,217,83,0,1,0,1,0,0,0,642,0,264,28311,1077,0,0,0,1460,750,501,0,1274,0,1361,158,1,333,465,0
36,1919,640,1,0,0,637,240,597,976,3223,1128,0,0,163,1,0,3349,0,1160,0,441,1122,0,70,6,3294,406,710,2553,2922,319,585,3702,1112,0,0,652,204,452,583,0,325,292,0,645,751,119,384,268,744,705,440,3,0,2836,3156,0,124,3902,0,0,0,13,0,361,0,2262,0,282,77741,672,0,29,0,930,558,444,0,638,0,1907,515,0,138,819,187
37,3937,2716,933,0,0,0,517,1251,1523,9277,2699,263,3803,2613,1,0,9368,0,69,1,3362,0,0,256,1181,2749,623,456,2321,5213,588,1125,3123,1021,669,2119,294,2,508,1084,0,282,837,0,820,646,469,624,1735,1940,6098,1177,9,848,782,1763,0,115,2676,0,0,0,1275,0,0,1,388,0,0,56923,1578,214,239,350,3184,796,8512,0,8737,1,4892,0,0,906,7102,99
38,1476,258,653,0,0,5,31,460,610,2664,102,0,5,1,0,0,1680,0,237,0,182,49,0,206,159,4465,575,616,2600,3051,0,804,3404,500,24,444,917,1,367,173,0,94,6,0,0,248,0,10,295,825,1362,647,104,0,1541,1481,0,188,831,0,0,0,145,0,0,0,1027,0,347,31081,550,0,259,0,504,391,4,0,2298,0,649,657,0,177,0,0
39,5350,1576,657,0,851,1828,635,692,3633,11992,1024,879,1538,1165,0,0,8011,0,2285,0,2676,266,0,1,1321,2807,522,268,2612,4187,390,1032,3066,2151,0,3300,751,17,1721,963,661,33,915,0,4871,962,202,1573,2622,1133,8715,2060,2806,1023,7433,6229,0,603,5425,0,0,0,1767,0,130,0,6582,0,147,67982,2507,302,103,941,2399,950,2633,0,7065,0,4722,77,0,1406,1433,423
40,1346,0,641,0,0,303,1849,1446,210,6026,650,0,452,360,0,0,6858,1,907,0,221,1497,0,69,2508,8363,450,589,4374,9697,1,1351,3978,1148,0,1221,1097,9026,668,785,28,4628,268,0,1768,778,0,2749,1101,1196,18526,3795,4910,220,1487,1936,0,0,7998,0,0,0,2101,0,1135,1,2332,0,0,131430,18,0,267,127,4381,920,625,0,725,0,7983,2526,0,1062,1684,579
41,13093,3045,1061,1,231,2515,1792,1813,4936,27884,4842,55,1133,645,0,0,10592,0,1098,0,2002,4181,0,343,6242,3857,456,921,3521,5089,339,1305,3098,3687,508,3410,3094,468,1500,2369,2014,1343,1364,0,3436,1625,946,4555,1508,1250,10320,2120,5560,2590,12437,20033,0,743,11075,0,0,0,3058,0,269,3,10327,1,406,316114,2432,0,0,8,16191,3672,3211,0,4768,2,3141,1434,0,1235,3773,254
42,2474,301,0,0,316,1171,28,0,449,6833,855,0,796,0,141,0,1404,0,1281,7,603,495,0,29,213,3985,473,632,3425,5646,302,615,4107,325,0,458,786,360,154,1020,378,15,80,0,1055,277,2,901,6,675,1965,359,29,277,2126,2451,0,17,2375,0,0,0,2,0,0,0,1024,1,0,117725,688,383,9,0,294,377,517,0,1239,0,535,4,0,210,953,173
43,1330,497,690,2,274,3371,168,384,1460,11909,1816,0,377,655,0,0,9491,0,2230,0,1429,572,0,839,533,3740,688,573,1785,3182,143,955,2740,778,0,433,706,1,826,927,238,1076,485,0,1758,921,129,388,1254,719,4597,1791,8,3,6416,6632,0,395,1515,0,0,0,1052,0,451,0,1837,0,221,17230,1023,0,7,0,1176,1113,687,1,4635,1,1856,167,0,801,1042,109
44,504,567,689,22,0,711,35,0,1147,5129,1290,0,173,0,0,0,1823,0,333,0,485,165,0,0,1885,3665,398,543,2047,4473,166,1280,3221,697,0,396,222,1,773,491,21,342,361,0,1044,153,526,345,0,666,5221,629,7,300,2100,2780,0,9,1354,0,0,0,1171,0,267,0,2549,0,0,51115,3045,0,222,0,1660,480,1440,0,1960,0,4180,342,1,319,1263,0
