,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
28,199,348,123,627,49,674,364,466,828,194,109,112,850,175,183,660,796,497,1040,105,1172,176,404,271,332,230,133,300,369,411,5,516,255,154,3745,832,143,1045,153,205,73,42,10,8326,1023,129,716,62,235,238,705,1521,574,1217,52,312,489,72,175,100,156
29,66,882,474,1,7,1306,512,1205,905,139,469,1326,944,1426,30,2,1438,1092,630,538,673,4,277,30,232,177,1,769,69,154,0,852,0,560,2428,11,958,561,2,320,0,867,444,31167,277,167,70,757,1481,22,484,1930,1583,241,521,10,923,7,0,128,362
30,1733,6623,530,2602,2112,3869,5817,12963,3221,2587,1073,3128,6189,2977,2931,6910,2350,1756,3592,540,2069,1529,4621,2136,1825,1069,1126,1805,2169,3822,1544,2227,2103,3498,4194,4171,2003,786,3068,1998,2692,2492,2369,39272,4560,1018,3089,2075,1841,1833,3026,6134,2011,2320,521,1623,1134,2069,1270,1278,1889
31,293,704,0,300,828,958,0,221,554,467,512,879,2165,1050,10,435,3187,901,2,1,1601,13,85,1,0,517,2896,1097,11,412,5,920,30,0,8579,3994,0,2642,202,36,283,40,0,81959,1498,0,289,1,352,1,528,1844,127,0,198,0,162,0,7,1102,801
32,3415,7613,222,1477,0,134,2654,375,20903,1089,510,7783,6270,16769,0,1904,12224,3734,2487,1733,678,7807,6342,9983,36,1098,5405,10311,2869,1431,693,9167,27,2280,43187,17188,0,6159,6109,7459,0,0,0,571335,3340,6586,8,3310,4314,14760,14822,5272,5770,6418,5790,148,4792,0,8991,0,3323
33,517,888,7,458,920,1012,1046,5331,1690,1938,419,351,1573,1574,28,1942,2084,1044,1149,1,2708,17,1164,85,590,419,292,1260,2787,1146,18,847,518,1571,11148,4016,4265,1241,1329,65,0,679,681,110858,836,16,6,81,343,986,852,1740,2338,163,343,2343,828,435,3524,508,1550
34,233,65,60,3793,2097,1,3351,115,5353,3959,2074,0,4545,0,0,2719,30549,18048,52686,8976,18282,3,1712,0,0,951,0,0,1146,1818,0,3113,56,0,22709,0,0,0,3217,2234,0,4,1,74921,6941,27,4010,0,34,619,151,11098,2250,2,4413,1629,1786,0,3,0,805
35,124,1980,812,58,102,2212,548,1980,1926,777,492,1536,3353,992,55,796,4139,1173,3386,0,1541,708,1000,127,376,686,1322,1198,21,421,366,2045,3,0,10896,0,154,2184,138,72,1638,611,119,61161,959,1575,1123,5,565,60,2642,2766,1665,1083,668,5,1977,745,1576,202,1365
36,129,495,738,1341,280,1217,67,297,2242,1897,344,1056,1655,1527,213,2594,5768,3004,6512,1132,2971,25,2344,1366,1,573,936,167,391,1482,151,159,1192,219,7919,1160,0,3238,1747,158,1535,1056,145,231723,822,588,253,551,996,574,2367,1753,586,5415,28,811,1277,0,362,686,874
37,242,424,379,199,354,705,7,198,609,275,937,852,2039,202,136,362,1789,1662,3848,458,2381,257,777,507,23,208,68,282,781,197,448,562,284,42,5404,374,362,349,167,124,32,442,186,36290,803,72,125,343,548,132,650,1151,474,1390,236,168,538,337,314,0,380
38,1035,2446,381,1567,1555,4812,993,5588,1835,1237,0,1802,4996,2113,1169,3714,3202,2528,5324,1979,3357,962,2318,1089,1338,809,975,1230,3102,1940,787,2367,742,1924,7143,1738,1337,1503,794,907,454,1252,1068,134170,4607,1136,1084,1031,1629,118,2015,2162,1659,1651,941,1363,945,989,2623,1632,1320
39,352,213,652,0,776,827,417,1429,1289,1049,1225,888,894,654,25,63,1965,1064,4082,990,2677,7,996,72,489,1649,506,449,291,1346,0,1021,0,0,3999,1403,859,1159,32,244,337,620,331,88896,1125,0,68,1,2,1090,0,3625,0,86,621,549,39,517,407,1,354
40,3601,12165,2447,4643,1490,8601,7075,14147,3843,3828,629,2862,14384,8056,2317,5236,6026,2158,8042,1867,4268,3645,10057,3058,3918,1538,1207,5885,8603,3300,2891,4647,3968,7133,13577,11962,2181,2974,3648,6054,5684,2905,4693,96256,4692,4748,5185,4420,4858,2021,3939,10436,7284,5238,1552,2898,2006,4181,2998,1939,5072
41,110,2235,0,1268,713,4225,2483,4389,784,130,551,254,1309,4082,15,628,3261,1025,1006,198,2184,512,0,906,718,325,615,982,1023,1039,1205,64,0,1,11306,184,1053,2723,919,202,639,0,0,40899,794,0,1446,0,0,1258,1328,1510,2244,98,2754,104,2937,250,1396,2832,403
42,1712,6123,1216,382,807,4123,3389,10995,8530,4795,143,3,12377,4770,1178,558,4439,1110,2554,539,2883,1639,5909,974,1557,16,723,1006,1639,4388,901,831,1454,7774,16,9869,3240,0,65,1926,2194,2153,1514,24944,994,125,701,2161,4828,1922,1,5560,0,88,1053,4487,0,1474,315,886,2146
43,138,135,6,140,54,2,0,0,118,171,101,4,163,115,0,362,1117,732,1639,476,850,0,258,29,0,30,233,133,319,7,0,223,53,0,2284,95,1,74,33,90,1,78,146,9045,423,0,194,0,272,92,0,1124,86,0,188,160,0,112,399,71,105
