,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
26,349,0,1931,951,1,958,213,0,2848,3853,0,3575,1898,81,0,242,0,1911,354,3017,0,214,0,60,230,2364,0,0,408,1298,420,244,3339,108,394,1255,3791,570,0,404,76,259,523,45,1030,1069,181,0,1925,2118,3396,33304,564,2461,3655,0,896,0,0,13557,739,15346,2309,2059,174305,763,1200,144,0,0,1395,2216,841,20,655
27,192,0,22,1038,2,4,60,0,1701,7,0,2,178,69,152,110,1,60,0,99,0,2,0,11,127,134,18,0,19,354,11,118,9,380,46,0,1171,123,11,20,3,91,65,75,41,8,43,0,27,156,649,3633,394,257,9,0,0,1,0,299,0,0,0,24,7301,232,3,150,21,0,191,157,0,50,8
28,21,8480,0,0,0,1,0,3,0,1,419,1,0,0,1,0,0,0,1,20378,2154,9553,13987,2987,32945,18360,0,0,10098,27504,1,3138,9,0,0,4,2,6,1,0,1,0,0,2,4,1,31,478,1,0,0,12,1,0,0,0,0,1,0,0,2,0,0,0,31623,0,0,0,0,0,0,1,0,0,0
29,41,261,0,0,1494,0,0,2,0,0,770,263,0,0,1,0,0,0,0,22203,7,2588,4395,702,10923,24881,5416,1,1138,13471,2243,3905,1,0,0,0,1772,60,854,0,0,2322,480,2,0,0,445,1110,0,0,0,10,0,1,0,5422,0,5,0,2,0,0,0,0,40396,1,0,0,1,3299,0,2,150,0,1
30,3738,369,7038,3330,1059,2259,3486,1145,2981,3808,102,4186,1094,7234,738,3006,1199,837,1302,2062,0,420,86,227,1578,3311,248,85,538,2426,136,154,3186,994,761,0,9089,991,395,3987,2523,2710,1296,1877,2540,2691,1099,3,2041,6667,4483,1565,13534,1515,1546,587,1108,2170,1720,28565,1707,32335,7836,517,66733,326,5909,651,237,0,3004,15170,778,2541,1198
31,3454,0,11100,3495,198,4275,2515,199,5468,3083,1,2214,3003,11589,407,2804,1956,3476,2855,1765,73,540,746,149,1849,3460,731,2,576,2249,200,411,1805,3996,2570,1189,21708,975,1975,4211,4598,6418,3992,3806,3028,1747,663,0,4095,6495,6174,2329,19210,3798,2275,248,1226,2526,1312,42971,2044,4600,6119,1618,148918,1720,3116,1217,4546,0,767,30124,1795,9483,1134
32,139,0,0,0,57,0,0,0,0,0,74,533,0,1159,100,144,1,0,0,56,5,166,0,0,484,1859,0,0,1,206,742,302,778,0,0,2,1,549,1,0,2,1,0,689,1,2,0,0,0,0,0,7974,0,0,0,0,944,12,0,0,0,0,0,4,125106,0,0,0,0,0,240,0,0,0,0
33,12565,0,16474,4154,376,3780,2405,3552,7612,7034,0,5046,2442,34067,1323,10849,7351,11201,4599,6226,1089,482,2046,689,4117,7811,2345,0,1275,2246,1,545,7222,2279,4425,1,24831,2234,2140,10744,10083,5763,6029,8118,4653,1905,983,0,4139,13716,8633,19338,41950,8507,5161,0,5705,7881,3317,53145,3573,38769,17714,2454,103896,1750,20256,3455,6180,0,2590,35343,4042,13796,5557
34,4,0,0,0,0,0,1627,0,1,1,348,0,0,2,341,0,1,863,0,14067,1326,1227,2037,207,6290,15294,22,0,3913,13954,2309,1392,2,0,0,0,4497,1,1,0,443,4,1,98,0,0,16,0,1,0,0,4,5926,861,0,6622,0,2081,0,1998,805,0,0,0,83354,201,1,24,0,0,0,0,0,1,1
35,4893,0,8975,1370,930,1758,1135,578,3405,1298,5,2851,1719,7898,324,1754,2180,1902,2032,1695,3,75,632,173,639,2790,240,12,551,1657,172,139,1860,2415,1334,887,10376,1061,286,1940,2803,1966,2228,1732,2131,1371,285,0,1926,5742,2594,2818,13835,1890,2180,0,2670,3036,985,30073,1197,6511,3944,734,109210,1142,3453,1026,117,0,922,13920,1489,8487,649
