,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
27,865,95,0,96,202,49,32,1654,210,0,63,0,22,0,217,1,56,15,132,0,106,289,452,513,1002,106,864,324,0,108,98,118,1,55,31,2,1,273,51,110,256,90,606,108,89,0,259,366,0,1,738,1,0,0,149,114,2,482,20,1,32,1,14898,39,67,0,0,160,64,165,396,145,0,372,1,472,31,0,2
28,1151,406,1,255,643,15,190,1135,212,2,172,109,52,0,507,0,250,20,127,47,147,1773,656,537,976,41,674,317,33,209,145,2175,134,74,73,127,0,169,55,29,92,197,680,234,965,3,160,463,0,0,1845,0,0,0,340,54,0,1435,29,0,30,31,20686,0,193,0,22,391,394,347,432,148,0,143,0,391,18,0,530
29,1406,271,2,389,24,645,517,4543,1066,1,491,319,1,1,4749,3,1560,1,1905,229,31,14,1631,1391,3021,853,2145,483,1,1428,3003,832,244,466,262,402,0,196,288,0,670,293,3512,697,74,290,131,1651,1,8,4781,0,0,1,421,13,7,3184,376,0,0,572,94621,123,549,69,0,2336,784,571,410,1272,1,932,6,841,624,1,1482
30,2768,1380,0,1,2716,521,787,3865,336,1,296,1066,0,0,1135,1,369,5,662,0,39,2286,1374,846,2852,356,953,1097,8,1074,1437,3022,216,487,225,625,0,187,395,195,646,688,1431,587,1444,190,296,1709,0,0,3396,0,0,0,1334,350,3,1675,81,0,121,143,79755,0,469,0,3344,5375,1894,559,1826,1352,0,454,0,833,583,0,0
31,303,361,0,305,17,46,141,1692,97,139,827,168,0,0,683,0,295,0,54,0,31,301,407,357,662,185,322,292,0,430,218,3,71,220,103,61,0,228,265,4,238,122,1175,345,318,19,662,736,0,19,791,0,1,0,75,16,1,1086,78,1,46,5,17540,0,224,3,0,372,13,324,876,348,0,436,1,686,135,1,253
32,6243,1777,1,1,905,2022,376,6940,283,0,1456,532,0,0,2166,0,840,290,1441,0,57,5305,1381,864,1343,275,1357,1816,0,837,928,5161,210,397,0,277,1,608,402,187,1686,549,3705,771,1525,441,852,1597,0,49,4438,0,2,0,1437,180,1,5067,415,0,176,191,92403,0,866,132,118,5308,347,586,1269,180,0,1251,1,1815,98,0,1050
33,11021,2830,1,835,828,4391,3205,14251,1096,30,4747,1998,1,1,11088,0,2420,354,15037,0,54,909,4082,1265,10068,2548,3325,4589,0,2970,5124,885,704,791,130,2069,0,2483,1229,23,2237,4540,14066,1492,9815,2872,1478,7876,0,892,8559,0,0,0,2229,1274,0,19258,3227,0,102,33,574507,0,4323,992,1297,14079,3076,2286,5121,7159,0,1504,1,4001,2069,0,5781
34,2450,1104,1,391,1068,1134,292,2828,1007,1,0,492,63,0,1394,1,828,1,308,147,117,2250,1419,933,2726,568,1352,1253,0,717,506,5350,250,517,15,1613,0,410,224,24,1071,774,1440,586,594,229,1154,2366,0,1,5653,0,0,0,801,98,4,934,88,0,0,378,58707,0,359,0,162,3554,2054,585,1,214,0,294,237,687,482,145,349
35,188,59,0,215,76,89,19,1296,246,32,96,145,0,0,472,44,115,0,69,0,0,165,501,454,776,49,576,327,0,240,69,55,51,144,55,30,0,260,125,0,146,107,842,119,31,25,464,926,0,5,58,0,0,0,151,33,0,247,27,0,0,1,4982,0,128,58,14,53,32,152,555,127,0,472,1,363,41,0,109
36,721,338,1,436,165,90,391,4029,593,51,224,273,15,1,1841,1,596,12,37,1,154,947,532,552,727,53,628,427,0,846,106,70,210,260,62,15,1,99,159,230,328,271,1054,436,142,115,1041,2179,1,55,1379,2,0,0,512,218,1,2261,16,1,25,67,7283,0,402,2,25,614,322,416,549,212,0,822,4,598,77,0,801
