,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
36,129,495,0,90,0,1341,1217,67,297,2242,1897,0,170,344,1056,1655,0,1527,2594,5768,355,0,598,3004,6512,485,1132,2971,679,736,25,1514,167,2344,0,0,187,167,391,1482,159,1,0,0,7919,0,1160,3238,0,0,145,0,375,231723,822,0,996,2367,1753,586,1031,0,686,0,874
37,242,424,0,2,2,199,705,7,198,609,275,0,2,937,852,2039,0,202,362,1789,367,14,377,1662,3848,1,458,2381,29,81,257,291,38,777,0,3,0,282,781,197,562,0,0,0,5404,0,374,349,0,0,186,0,52,36290,803,0,548,650,1151,474,55,1,0,0,380
38,1035,2446,0,0,2,1567,4812,993,5588,1835,1237,0,615,0,1802,4996,239,2113,3714,3202,459,123,417,2528,5324,1665,1979,3357,284,468,962,622,734,2318,0,0,102,1230,3102,1940,2367,230,0,0,7143,0,1738,1503,0,0,1068,0,0,134170,4607,0,1629,2015,2162,1659,504,2,1632,498,1320
39,352,213,0,20,0,0,827,417,1429,1289,1049,0,98,1225,888,894,0,654,63,1965,444,435,283,1064,4082,0,990,2677,29,151,7,0,401,996,0,1,397,449,291,1346,1021,356,0,0,3999,0,1403,1159,0,0,331,0,0,88896,1125,0,2,0,3625,0,594,0,1,429,354
40,3601,12165,0,993,5,4643,8601,7075,14147,3843,3828,0,468,629,2862,14384,2704,8056,5236,6026,376,776,894,2158,8042,0,1867,4268,374,437,3645,321,2134,10057,0,1,338,5885,8603,3300,4647,203,0,0,13577,1,11962,2974,0,4,4693,0,514,96256,4692,14,4858,3939,10436,7284,2211,3,1939,3026,5072
41,110,2235,0,0,1,1268,4225,2483,4389,784,130,0,0,551,254,1309,0,4082,628,3261,58,1784,494,1025,1006,1,198,2184,1281,821,512,0,0,0,0,0,150,982,1023,1039,64,0,0,0,11306,0,184,2723,0,0,0,0,0,40899,794,0,0,1328,1510,2244,42,0,2832,0,403
42,1712,6123,312,521,3,382,4123,3389,10995,8530,4795,556,757,143,3,12377,0,4770,558,4439,351,0,264,1110,2554,399,539,2883,159,108,1639,269,2485,5909,1,0,0,1006,1639,4388,831,166,0,0,16,0,9869,0,1,3,1514,1,271,24944,994,900,4828,1,5560,0,752,2,886,45,2146
43,138,135,0,0,0,140,2,0,0,118,171,0,0,101,4,163,0,115,362,1117,182,205,51,732,1639,490,476,850,120,41,0,0,74,258,0,0,0,133,319,7,223,99,0,0,2284,0,95,74,0,0,146,0,0,9045,423,0,272,0,1124,86,4,0,71,385,105
44,4552,3081,0,0,2,4112,3801,1112,1841,3626,1896,0,666,768,3117,8096,743,1609,5485,2633,404,1677,322,1832,4829,3,707,4570,222,397,3246,396,650,1840,0,0,654,2098,3479,3409,2684,187,0,0,13685,1,3150,2840,1,4,1228,0,425,110377,2245,0,1529,3341,4783,2766,1616,1,1393,936,1789
45,205,189,705,12,220,1,0,356,90,345,134,0,142,52,165,322,0,28,153,1205,168,0,138,1077,390,240,242,874,143,54,1,46,8,315,0,0,699,90,402,170,72,0,0,0,3548,0,52,46,0,0,41,0,0,20940,34,0,38,0,1103,0,109,63,0,26,103
