,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
23,532,1,336,0,2156,0,0,430,0,0,277,34,518,0,314,0,0,0,1,4400,1800,7524,1336,4495,1,0,1,83,732,402,0,710,886,0,0,0,0,0,1,0,539,0,0,0,0,0,6,0,1611,119,0,0,0,0,588,0,0,1,0,0,0,3,108,28984,0,66,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
24,10455,1503,16553,1122,2,4321,2053,3140,3211,3786,9426,687,6249,10666,36830,2577,3111,2166,288,1641,747,1674,550,1233,3628,9757,1102,2953,8534,1532,1985,1940,2279,2103,12286,1321,4137,5584,5495,113,867,5381,1554,5689,20717,16325,30924,1440,21600,8340,9408,1989,1489,3209,1696,2234,4364,107495,4578,2063,13459,7076,1390,473826,3621,3572,0,7059,1402,604,2958,3680,1638,6602,2029,1928,22667,7705,3624,30425,4763,2500
25,21268,419,15790,8636,1,6570,2451,3056,1243,3846,2372,0,877,6068,15757,1998,835,5613,417,4413,1586,4042,541,3668,3603,6229,2138,3615,20506,2357,7471,3485,5380,1465,5134,755,1346,3254,4700,0,5201,3009,2711,468,9909,4405,18382,926,19828,11648,3903,2419,1889,1460,1501,4215,3857,77028,1208,2657,188,2164,5634,677834,2756,4036,6479,2548,2858,1134,2313,2332,2069,4143,723,5147,49419,223,5069,24173,3866,2465
26,3,0,0,0,6937,0,0,268,0,844,255,1,1403,0,0,0,528,863,0,5728,2642,16916,1803,5849,19,0,0,0,2989,3287,1,5355,173,0,0,42,188,0,1,0,560,0,0,0,0,0,1,0,0,245,0,0,0,0,0,1469,0,0,0,0,0,0,17,416708,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,813
27,18849,2723,31765,9863,1,6612,5608,4586,5015,10930,22261,6410,11092,15579,72825,5328,4705,8752,7265,2458,729,2799,638,1423,3240,5171,3796,7667,43013,4838,4347,5125,10822,2059,8748,6387,7459,7691,6657,537,5640,14688,4734,8569,31211,40784,30048,3687,59296,19838,13055,2722,2137,10235,5405,11664,5154,220962,6810,3471,32206,12350,4595,376583,7233,6016,4934,21867,5622,10522,3896,5758,3810,12222,3478,6997,60173,3697,8102,22896,4456,6089
28,5556,420,6751,3231,136,1848,531,479,192,2680,407,0,285,2373,6701,539,1316,2194,201,867,434,1307,528,1124,536,2131,1028,1772,9559,1101,2432,1075,1382,343,3486,214,397,2076,555,0,506,1622,959,511,4252,1516,6496,354,6575,4511,2028,209,1465,703,425,1126,710,27983,769,621,0,1748,819,184586,257,1074,924,1516,226,798,721,1014,188,882,519,743,12375,199,1790,6229,1038,729
29,18339,1902,15645,4844,461,2879,3249,2374,3022,8453,4140,512,3145,2335,12493,1871,2214,3835,2223,2860,964,4974,1373,2329,2387,603,1081,4501,21385,1985,7422,7001,4969,324,2051,1188,1419,1566,2022,217,2914,2836,500,94,11904,5485,14329,1376,20028,4266,3956,537,2084,1992,693,2874,3286,42776,1989,2315,2007,7393,1488,278085,870,2359,2170,3985,944,917,270,1118,2163,2725,1816,2656,41294,432,6546,25361,1192,2015
30,10401,1983,14425,4371,10444,4786,3682,628,2054,9641,3460,1756,3172,5572,16071,2254,3938,3002,1188,796,613,2805,352,1658,3419,4197,1545,2657,13409,2210,6365,4705,2487,1560,1766,1888,3509,3144,2105,1206,1709,2400,923,3015,5544,7977,18131,1628,10982,2475,1581,2247,821,2501,546,940,3560,58578,1463,1094,18854,7323,2553,295268,1190,3718,110,7308,4351,1885,985,2025,1627,2796,912,2104,24140,2347,2612,12283,1006,1528
31,13227,1402,15194,6994,164,3007,3014,2743,2317,9462,4980,433,3875,3752,14913,2156,2003,6601,1947,1788,784,2130,1280,2123,2779,952,1043,5946,21086,2217,4991,4999,3284,693,5749,307,1625,2429,2319,1556,3098,2727,2307,980,15296,6357,15519,616,17082,2860,6034,1130,2409,939,2413,2802,4606,45677,1429,2055,138,5759,1791,292399,924,4961,1982,8460,2940,1638,76,3333,1284,2396,880,2168,64700,759,5435,17780,1479,2064
32,15499,1207,27038,2039,2310,10962,3827,3354,1592,9130,5513,1574,6886,4975,26396,2588,2427,1941,56,4050,1582,8999,727,1985,6001,5626,1987,2930,19861,2032,5747,22965,7247,4610,1025,237,2920,3993,4806,1419,2967,4514,1896,3364,11263,5598,8978,3190,23293,3406,3283,2236,2188,4554,2076,5545,5526,83859,3469,2447,25168,12283,2164,597911,2737,4232,6065,9803,2036,6397,1198,3063,3159,6233,1259,2438,45649,3292,890,17479,4128,2419
