,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
22,1486,6,1160,257,197,1516,82,284,292,340,613,3241,79,488,189,138,112,944,1295,159,810,31,252,5,637,3394,1200,2389,543,1457,433,57,405,0,480,2269,185,873,44,284,276,53,529,1209,1063,303,822,1764,190,191,1015,3251,270,1959,102,306,315,0,0,489,4789,1309,4608,1,217,39,799,0,561,3603,52686,461,510,1069,244,71,547,424,6,290,0,453,909,376,361,139,191,448,22,1428,149,207,296,394,830,523
23,2394,1915,1556,1091,641,2249,640,501,413,225,547,11688,1115,1820,355,1338,1792,1419,3742,658,2696,751,588,0,3279,3413,203,3733,465,1541,1861,255,1495,812,605,783,939,1168,841,1635,2920,1226,412,1620,362,870,1274,326,364,712,1935,1981,631,318,591,686,1009,1450,874,2286,3079,720,2663,822,1425,2007,676,1998,351,4532,146834,919,20,3017,651,1787,4058,192,757,1188,1627,479,1231,212,844,1467,610,706,517,3713,1914,511,2089,838,1446,1969
24,5577,1837,1,514,0,286,427,139,0,2173,1161,3600,517,3859,2106,68,0,1331,2089,156,526,368,215,0,12,4808,1797,4223,2207,2534,434,162,1453,809,995,2,132,1087,345,855,4579,874,663,1433,134,105,827,708,157,1522,1601,3880,2065,251,0,104,584,147,399,6002,8975,2774,9620,142,3940,0,2425,339,6,9769,36422,306,1372,1046,613,172,1225,395,156,3002,949,407,518,240,270,396,1876,1488,1264,1517,824,1673,240,414,631,1666
25,2718,838,1667,109,520,86,1,856,423,556,548,10571,966,2258,1434,1500,750,1840,2591,740,1036,875,3770,1,12025,6366,6719,8520,2796,6122,2372,0,863,370,697,2022,0,604,373,0,597,1,124,726,696,1556,1834,1827,513,0,811,1970,1138,1199,956,537,0,0,38,1531,4440,423,10014,1530,2061,1113,383,659,2114,1393,152488,0,1206,3708,366,1715,624,43,1,1264,296,310,16,1964,339,0,0,1670,0,1288,1073,1520,1150,609,1817,1664
26,15467,8231,2136,1591,3026,4860,5463,2801,9578,3479,3287,32639,3699,6779,6382,4071,2485,8021,23311,1973,6248,1670,17376,2876,38800,4230,2244,5359,1612,3518,7381,4487,4058,3693,5888,19253,2227,5920,3418,5548,3860,3340,2871,7791,2048,6316,7366,5360,2174,1214,6598,20866,6479,13311,7179,5173,2766,4687,5580,19622,32642,8245,14023,2992,4837,3439,2144,6517,7533,16485,542374,11754,4579,41272,7090,4712,7399,3273,5656,11321,3602,1933,2434,1872,2048,1328,2332,4877,6154,11189,5017,2938,5048,2932,8669,3166
27,1034,431,491,0,0,311,1545,313,582,678,1767,5235,200,945,1783,253,391,0,4829,514,1583,298,40,356,7207,9890,4201,5258,492,5326,444,331,2532,1121,421,1839,659,3312,0,646,310,507,660,1553,427,954,1136,613,1201,840,117,12390,973,3091,2774,45,350,0,555,3685,1057,978,4097,158,455,982,496,826,2175,3178,162052,1697,1258,1655,479,2293,1226,434,1,5013,938,265,533,0,0,438,618,5325,0,926,454,543,330,737,632,564
28,5967,1057,14,376,912,1013,685,898,1513,1014,785,9890,877,765,3068,164,777,3791,6785,794,1555,186,353,2802,2923,2207,1217,1941,1382,1019,1254,250,597,494,1913,7638,950,903,65,2213,2025,744,669,1591,2780,1526,1527,1639,1181,148,918,6069,3006,5130,874,1329,1159,3,0,2784,7384,1082,8994,1038,1927,134,561,993,1474,6326,75816,3272,879,4013,1825,340,1046,1022,660,2810,1957,1531,2373,786,475,1,1579,2068,1249,3216,2200,662,1058,671,2687,427
29,3623,1250,894,0,744,979,1,454,436,1007,884,9211,1288,1999,906,76,685,1032,5001,274,1504,510,323,0,7919,3284,2789,3781,892,3884,2548,161,745,1569,557,5526,1009,2281,837,157,3569,569,381,1379,2129,2002,1346,116,1070,262,661,8201,2013,3240,1080,393,382,724,415,4089,4788,509,3146,806,860,363,409,1255,2237,2458,115417,2733,1162,204,80,508,806,111,0,3171,607,35,697,1,0,0,506,1899,625,379,1329,0,1620,968,1258,1659
30,6181,1910,1742,413,0,640,131,66,0,1097,929,9104,175,1011,0,2045,301,0,4259,659,2571,399,3628,296,36,4559,1724,4395,1797,2328,876,950,1311,721,1605,2,1081,375,1473,997,2339,2468,668,2964,0,1379,685,250,1,588,949,2799,1066,406,355,17,342,961,0,1513,5943,2006,5144,1162,1012,360,700,410,356,6332,28997,703,1071,4449,494,3950,1758,1170,824,1675,2,407,437,460,1548,2282,281,738,823,2518,209,602,1161,750,2782,0
31,7364,2398,1900,459,1381,302,1701,1890,3587,1060,1926,12546,9902,1549,5132,851,997,2117,14620,1587,1951,1582,0,4858,13162,4248,2811,4967,433,2567,2024,1174,835,2114,2265,9880,423,1206,118,1974,2266,1561,2290,2194,4746,2311,2628,1729,4015,829,526,11502,2308,15107,3208,1468,529,1800,1007,2292,2474,688,13125,1200,2434,333,860,1843,803,7363,232347,1560,1068,4868,2041,360,693,1115,2263,3751,2317,1516,3932,1443,1,247,1155,5782,1070,5494,1773,2411,1631,947,5814,1278
