,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
26,159,40,1,222,1004,7395,0,483,147,5,102,224,0,120,628,0,2763,1536,0,1541,0,2,1211,1088,1768,290,917,103,0,0,1,366,325,339,597,10,440,514,380,330,5,16,270,52,1,292,0,121,0,1,4,597,98,1,44,242,0,596,519,564,136,19995,13,142,480,861,0,0,156,375,20,0,567,1
27,2899,1781,424,2830,18652,29040,0,3797,2278,5234,623,414,0,2271,5435,0,27589,8108,0,12089,0,113,2752,924,3666,211,2900,728,0,0,0,588,3198,5975,5619,765,6510,650,6507,2281,3,368,1009,5228,0,2642,0,3152,0,1,14448,17909,3954,353,2988,2379,0,6116,1779,6150,3470,109314,823,1352,9192,4966,1972,0,2,14024,0,243,2815,0
28,1537,324,557,654,4101,11926,0,2482,16,1572,187,147,0,1012,2980,0,6508,2097,334,2831,0,0,1595,728,1912,552,1471,225,0,0,1,359,1399,1533,2279,120,773,680,3463,600,0,155,918,2857,0,641,1,1129,0,0,17751,4964,1519,59,922,722,0,3986,1450,940,1630,103285,871,399,6191,2256,247,1,0,1758,1,134,1836,0
29,1107,6590,748,1055,3736,5726,0,1529,733,336,217,707,0,1408,3365,0,5122,853,248,3690,0,1,585,628,1492,275,860,1308,0,0,169,8443,1254,1068,3042,219,1203,1769,1559,338,1,939,1067,827,0,2677,32,207,0,1,15033,2296,787,135,660,706,0,1356,935,2984,1889,144648,620,1880,2425,1125,316,1,63,1976,369,114,693,0
30,2183,828,1014,836,9280,19342,0,4777,860,1628,672,169,0,1673,5104,0,17874,2730,299,8748,0,0,2935,1589,2760,866,1760,999,0,0,0,738,2181,6084,2639,317,4811,1444,9932,2762,2,354,1441,4739,0,1524,2,1654,0,0,11101,8993,5546,57,1332,3505,0,3192,3904,2847,1442,79242,1883,1701,4085,3161,341,0,10,2339,0,257,2955,45
31,0,2941,664,0,4975,50465,0,3688,4286,5053,0,26,0,1,2970,0,18993,15904,0,12729,0,1,18509,3594,20621,2261,12873,1,0,0,0,3261,3619,5,2174,2296,264,2452,1316,4,0,2986,4035,1349,0,5095,0,0,0,0,404,3091,6096,0,1981,1838,0,2605,12,4808,3742,477490,995,20,16839,6639,0,0,3918,18454,2,0,8153,0
32,7,2981,152,0,15948,30803,0,1982,4186,576,462,694,0,2112,7049,0,21530,15127,1,4980,0,708,8080,6559,19471,1758,9357,701,0,0,0,1488,2990,60,10042,2256,1333,119,1578,777,2,705,722,248,1,2758,0,3534,0,0,11,4246,3550,0,819,2658,0,3565,2613,3,2298,298638,1401,2418,3985,1824,0,0,0,7346,1,0,5674,0
33,3042,622,1331,202,14119,26149,0,7570,3830,2920,0,325,0,1449,7351,0,13764,4119,48,9815,0,15,2850,1133,3370,474,3346,641,0,0,1,615,2877,5057,5342,4,1657,1952,7770,1659,2,542,1256,6241,0,857,0,2860,0,0,26925,9121,4197,111,4026,3211,0,7325,1463,2468,1888,122886,5063,1095,8700,9462,1027,0,100,8200,0,3,4607,0
34,646,12,64,266,564,3498,0,1049,7,162,94,129,0,236,600,0,1465,406,0,1285,0,0,977,403,1046,321,1008,111,0,0,0,256,205,305,468,129,415,156,417,271,0,69,10,415,0,176,2,671,0,0,10059,590,251,0,273,257,0,932,229,192,278,37508,192,0,1749,528,98,0,1,700,0,0,234,0
35,3145,1583,204,2208,17474,21468,0,6300,2142,4181,810,526,0,3259,6622,0,13895,5879,865,10999,0,1,2595,878,4893,768,2125,788,1,0,0,878,3711,2564,7011,110,3179,1578,7451,2537,2,1499,1869,3079,189,2120,1,1883,0,0,9465,10498,3329,1,4263,3498,0,5633,3379,1935,2013,109695,2012,2675,4873,2322,283,0,0,4972,0,0,4488,0
