,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
24,12793,4359,2406,24502,12196,0,10415,5522,4867,5096,21261,10239,10043,7038,66979,9375,4878,11287,6214,7789,6278,9042,1,1518,6929,6845,10990,3933,11320,39902,3598,19118,20327,10211,6293,4011,1938,4323,5974,6662,3773,3849,10608,3521,4256,7295,22324,13693,3253,62522,12290,14454,6171,4336,5338,8168,234783,5379,7818,74563,35025,12701,277891,7672,1411,15418,3297,9876,2440,863,4547,10585,6844,3708,6415,106319,2377,9940,43197,624,8863
25,26915,477,5303,24478,5963,1902,9807,6385,7367,6703,16962,32463,12557,20706,48069,8723,3795,3017,2329,4119,3717,6450,1161,1770,5651,8311,4980,6135,9058,35443,4188,7890,353,6259,4485,10398,9221,16149,26255,14389,0,10457,10752,5628,4074,12353,55632,77171,7715,46033,23382,14776,10362,3920,7961,7059,227777,11695,305,86042,17968,3224,909125,5292,8156,24697,5006,2050,2257,4152,11383,13636,5512,7684,6094,50451,7264,3839,23205,2145,9098
26,8797,100,1729,8675,2169,1343,2455,1187,1289,1920,4103,3464,1728,1951,9862,682,1680,1631,1461,1975,943,2359,2253,962,1573,2801,1657,198,2484,10631,1031,2260,3206,1856,176,1121,1423,1251,1489,1510,165,2031,1176,509,624,5705,5365,5833,1068,11863,2012,2627,1130,2369,1588,858,22425,1521,1718,11510,6110,671,99329,962,573,2318,3038,582,489,602,1774,2398,651,1405,874,20233,91,2631,11569,628,1372
27,8271,636,2465,14775,3786,606,6221,1864,173,2365,4627,3968,4106,4986,15697,1481,2143,2533,2341,1578,1281,3717,58,1616,1798,2721,4784,1577,2102,12686,1861,4973,6212,3749,1323,1990,588,2010,2021,1147,1724,1496,3594,831,1664,9821,9756,6613,1413,17962,2135,2980,3006,1204,3867,2410,74480,3033,2398,10166,8592,2216,243633,2565,3193,6796,1539,5147,645,1360,1770,2612,1147,1903,1310,30303,1239,5327,17617,1482,2307
28,30609,3157,6943,45563,6091,17104,16359,4718,7003,8064,34847,12561,14370,13214,59141,7847,10462,9532,16021,5814,3264,10726,1349,884,5171,10363,12260,4433,4895,44092,4893,10935,6717,6429,3951,11278,5875,6589,8058,6294,2364,10125,9567,5298,10722,32936,21079,23972,6071,53570,15560,13013,10782,10011,8690,10224,182002,7088,3914,86261,28148,5005,677815,1627,5064,29898,7162,7545,3282,5655,7080,10168,4028,4544,7447,86168,4921,6843,62737,10165,7445
29,7900,909,924,11113,583,6125,3458,1130,1029,896,5562,4071,4458,2203,13538,1090,2487,1829,2489,1558,654,2755,252,479,1560,3435,3169,971,2031,7931,461,3743,1563,2924,638,1988,859,1119,2106,1079,898,1202,3160,1267,1777,8847,6026,12065,971,18102,4438,3543,1626,1165,3196,1907,46400,2532,1180,48007,6040,1282,132784,1602,977,6535,1301,2772,928,639,2286,2390,1188,897,1446,18653,1789,1497,14761,1080,1222
30,1381,338,1286,4660,511,2926,955,345,684,623,1375,1335,1010,1389,5146,791,1858,1072,842,1250,407,1229,343,479,745,1233,627,446,602,4414,755,1020,2162,492,581,602,481,732,798,790,305,222,1448,326,440,1561,3088,2762,665,6023,1033,265,243,465,1570,868,16472,162,224,16349,2176,579,59548,350,690,1969,724,607,382,328,571,721,609,712,393,4649,552,465,4271,386,538
31,5905,266,606,3926,815,2059,1783,1132,512,1090,1663,1707,1731,1896,7951,890,1957,791,946,1641,522,2326,292,219,1169,1579,2458,283,1756,9088,349,2564,773,2947,552,894,848,847,972,701,908,865,860,648,1296,6277,3184,5878,519,8962,1592,2354,1261,1158,964,758,29179,854,1160,8399,3659,1442,73287,529,694,3863,1018,1147,789,762,523,2131,1071,608,269,14072,727,115,4283,437,1017
32,8893,1788,1487,11843,2628,2947,3167,990,651,1297,6656,2600,718,2407,11586,888,1947,773,1582,765,609,1386,75,159,1623,2245,5379,1088,1972,8707,942,2732,2045,3655,1484,2600,327,1042,1668,1698,607,1077,3115,585,1024,5800,3066,7583,409,6644,3675,2118,1073,1052,1487,1667,53680,1406,1289,434,3542,3357,74075,811,3099,4505,2023,2827,1098,1388,2300,2389,866,1039,1449,19431,1075,1895,7759,1772,1383
33,3214,490,106,4845,998,426,1747,392,790,1023,2928,1490,1148,1219,5256,1130,1149,1700,977,611,389,1891,259,174,1157,890,1272,271,651,6696,344,1359,1597,2045,1089,383,151,1018,1721,918,583,287,1220,1261,692,2206,4053,3176,623,13105,2119,2163,246,423,1260,899,21028,642,681,1269,2996,1761,68814,632,704,1871,642,1815,204,1038,1085,2152,480,882,280,10967,278,2558,7436,290,789
34,11130,1094,1230,15279,384,6795,4256,1581,1785,1389,7084,4090,4361,2287,11919,1332,1829,3007,2850,2045,1372,3270,244,838,1867,4118,2532,1323,2125,6506,871,5163,3569,4969,1537,880,1020,2239,3961,2031,450,1728,1450,509,1943,8209,2190,11415,944,19829,4508,3282,2239,1487,2626,1332,50554,2439,1932,60187,13474,2162,186616,430,1605,4274,1536,5676,1119,1182,1077,3420,1430,1139,1322,27144,1535,2744,18927,1415,1673
35,7356,939,733,9999,1905,5031,3018,765,472,760,5936,1404,1834,3430,8783,1359,1093,2082,1525,1167,915,2613,292,116,1182,1371,2415,996,669,7044,425,1679,224,1286,1566,2073,1628,1434,1816,1690,1254,806,3041,1034,1710,5716,2623,9297,1025,9578,3546,964,1233,1568,1318,1231,49582,1159,2153,5091,4505,2064,68357,963,1767,3302,1531,1855,184,2119,815,1257,850,388,745,15262,1222,2442,12836,1290,1027
36,3011,1539,535,4146,3852,1,1193,897,1033,589,3917,3365,1518,2337,6680,1527,1292,2788,5906,1972,2065,1833,52,505,1750,1449,845,904,2087,11811,1260,1831,1156,2493,377,914,954,1501,1589,1385,468,1429,2097,767,431,2951,3520,588,832,11659,2109,2406,816,845,1624,697,33256,814,1277,3254,3902,1708,27775,2768,1170,2411,803,518,343,797,714,1303,636,554,869,24678,131,1077,5834,309,1397
37,7342,158,2069,10576,1018,1792,2216,806,943,1080,10579,3365,2335,3161,8665,783,2121,1798,1361,2035,1091,1865,0,510,1708,1475,2708,654,1812,8619,1195,3478,2135,2079,747,2258,1141,1644,1888,866,1245,1723,3704,845,1386,6465,6417,7704,1342,6661,1457,2478,479,497,843,2427,45592,846,577,6877,4834,2158,107298,917,1665,4369,1455,190,533,2163,1001,3160,568,861,2399,15545,412,1423,8858,3282,1379
