,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
28,2078,966,0,0,1622,1228,8970,1024,240,705,0,3304,1470,2760,780,3787,2732,2326,3789,1115,3115,1092,1487,939,434,8821,554,2304,476,1055,1427,1138,67,307,779,877,4594,2429,1050,665,1492,6109,10340,0,0,1750,0,1141,0,351,9653,0,0,138593,1,2403,667,5008,2300,0,1276,0,1950,2004,3132,920,501,911,834,1139
29,10137,5471,768,205,745,1308,11293,2706,1445,1388,173,4287,421,1792,2358,5595,3062,1785,2745,934,2160,3643,2733,234,839,7084,788,2099,385,1238,2166,2356,271,2912,1937,890,6377,957,6245,654,4439,10539,16311,0,0,7588,0,2696,0,1023,9496,0,91,282069,0,3164,293,5349,4836,0,1819,0,1686,1473,1741,3325,140,777,1239,475
30,1933,1507,575,2,1524,1836,7390,2145,77,0,0,5680,415,441,370,771,3929,2150,2476,553,1901,362,867,581,662,1,1059,903,298,1002,1320,1941,143,927,272,902,2854,2020,277,871,5211,5071,4229,0,0,412,0,981,0,847,2289,0,0,20012,0,2776,238,5864,634,0,727,0,1747,5250,1659,381,262,900,1206,36
31,800,542,2,0,0,433,3999,725,212,0,0,387,418,878,0,1012,1987,3026,4793,1277,3681,225,398,0,278,1890,473,342,100,85,734,146,34,402,428,0,1281,527,0,1,2246,1793,7,0,0,473,0,13,0,149,1601,0,0,20898,0,82,352,764,352,0,397,0,1401,1032,381,524,312,508,523,0
32,2296,445,293,0,127,901,9400,1716,0,241,0,496,84,395,1828,1770,2364,2607,2807,893,3286,739,0,204,246,314,1400,484,101,221,88,1588,803,363,365,1681,3302,1114,64,355,851,3557,7263,444,0,621,0,794,0,65,2452,0,0,72837,0,510,718,1853,1777,0,1748,0,711,6358,186,123,0,329,1340,83
33,5110,1470,695,485,1196,2144,22193,4130,189,0,186,11090,1863,3500,5610,6885,2708,1793,2875,551,2751,3667,2692,1221,1243,1513,1592,1676,450,2101,6373,1582,256,2456,1426,1613,5404,3348,1069,2428,6238,11288,9439,270,0,989,0,1381,0,1168,7616,0,66,90464,0,11077,769,10508,2629,0,2664,0,2965,5528,4414,2354,548,1056,6812,507
34,1828,1269,486,138,478,1330,21634,3135,274,0,348,8851,356,1363,2031,1514,5998,2251,5420,395,2775,1416,1419,808,613,0,673,615,179,969,2675,944,0,1851,1339,211,4910,1792,1,2226,4957,5244,6699,342,0,393,0,2362,0,911,6799,0,0,25265,0,2592,0,6535,1359,0,1001,0,2321,7648,999,516,124,907,531,267
35,1193,660,0,0,495,2525,4086,448,0,0,0,1371,521,1086,0,507,3172,2808,7208,489,3145,1325,0,132,0,855,308,930,0,263,1932,226,0,1,472,680,828,203,0,1,1295,1201,83,0,0,1,0,657,0,397,642,0,0,28311,0,1077,3,1460,750,0,501,0,1274,1361,457,158,0,333,465,127
36,1919,640,1,2,597,976,3223,1128,260,0,1,3349,424,1160,1122,6,3294,2553,2922,585,3702,1112,0,0,652,204,452,583,259,292,645,751,119,384,268,744,705,440,3,710,2836,3156,3902,0,0,13,0,448,0,3,2262,0,0,77741,0,672,851,930,558,0,444,0,638,1907,1396,515,396,138,819,194
37,3937,2716,933,0,1251,1523,9277,2699,883,3803,1,9368,0,69,0,1181,2749,2321,5213,1125,3123,1021,2119,1167,294,2,508,1084,364,837,820,646,469,624,1735,1940,6098,1177,9,916,782,1763,2676,157,0,1275,0,263,0,465,388,0,41,56923,0,1578,417,3184,796,0,8512,0,8737,4892,1620,0,441,906,7102,1045
38,1476,258,653,54,460,610,2664,102,461,5,0,1680,1059,237,49,159,4465,2600,3051,804,3404,500,444,148,917,1,367,173,0,6,0,248,0,10,295,825,1362,647,104,539,1541,1481,831,1,0,145,0,235,0,435,1027,1,0,31081,0,550,352,504,391,0,4,0,2298,649,393,657,0,177,0,0
39,5350,1576,657,74,692,3633,11992,1024,423,1538,0,8011,1525,2285,266,1321,2807,2612,4187,1032,3066,2151,3300,0,751,17,1721,963,249,915,4871,962,202,1573,2622,1133,8715,2060,2806,1604,7433,6229,5425,62,0,1767,0,2820,0,271,6582,0,138,67982,0,2507,0,2399,950,0,2633,0,7065,4722,1513,77,516,1406,1433,433
40,1346,0,641,0,1446,210,6026,650,0,452,0,6858,3333,907,1497,2508,8363,4374,9697,1351,3978,1148,1221,0,1097,9026,668,785,1045,268,1768,778,0,2749,1101,1196,18526,3795,4910,0,1487,1936,7998,579,0,2101,0,0,0,1359,2332,0,0,131430,0,18,968,4381,920,0,625,0,725,7983,1969,2526,328,1062,1684,528
41,13093,3045,1061,259,1813,4936,27884,4842,816,1133,0,10592,594,1098,4181,6242,3857,3521,5089,1305,3098,3687,3410,758,3094,468,1500,2369,848,1364,3436,1625,946,4555,1508,1250,10320,2120,5560,1042,12437,20033,11075,0,0,3058,0,1255,0,1691,10327,0,231,316114,0,2432,263,16191,3672,0,3211,0,4768,3141,1909,1434,543,1235,3773,623
42,2474,301,0,0,0,449,6833,855,274,796,141,1404,284,1281,495,213,3985,3425,5646,615,4107,325,458,4,786,360,154,1020,65,80,1055,277,2,901,6,675,1965,359,29,13,2126,2451,2375,0,0,2,0,461,0,125,1024,8,1,117725,0,688,270,294,377,0,517,0,1239,535,0,4,116,210,953,257
43,1330,497,690,13,384,1460,11909,1816,382,377,0,9491,638,2230,572,533,3740,1785,3182,955,2740,778,433,104,706,1,826,927,207,485,1758,921,129,388,1254,719,4597,1791,8,236,6416,6632,1515,0,1,1052,0,598,0,1,1837,0,37,17230,0,1023,48,1176,1113,0,687,0,4635,1856,2269,167,105,801,1042,436
44,504,567,689,0,0,1147,5129,1290,248,173,0,1823,211,333,165,1885,3665,2047,4473,1280,3221,697,396,155,222,1,773,491,176,361,1044,153,526,345,0,666,5221,629,7,0,2100,2780,1354,0,0,1171,0,1022,0,188,2549,0,0,51115,0,3045,435,1660,480,0,1440,0,1960,4180,92,342,0,319,1263,182
45,2786,2183,891,0,529,87,7030,980,127,536,226,2691,110,1848,686,2,1312,1276,2287,1079,1849,2137,2488,203,418,0,11,562,597,300,713,71,684,2756,713,0,5477,817,114,434,2158,5052,1307,4,0,1249,0,740,0,697,4671,0,30,21262,0,982,43,5127,2075,0,3004,0,801,1082,415,886,22,157,3208,374
46,13217,2096,757,401,734,790,19495,1645,1473,4004,123,10080,1124,977,3450,8540,3023,2033,3919,686,2133,2972,1603,739,1200,2295,943,666,516,1244,1336,792,484,748,2009,2919,6935,1403,2488,3106,1433,2657,4720,268,0,1583,0,810,0,297,3328,0,2,164504,0,2122,1004,4049,908,0,932,0,5944,7424,2302,927,672,1620,4025,697
47,1002,1007,361,0,466,1132,9084,1960,0,0,0,2637,550,891,317,2706,2276,1125,3441,473,2218,565,785,184,788,1546,931,847,122,1211,3076,160,180,1028,315,499,1309,779,1209,413,3785,5954,3006,188,0,730,0,688,0,98,2513,0,23,66370,0,1653,363,1307,1234,0,1109,0,1144,940,455,342,550,556,419,54
